Unnamed: 0,Player,2020/21,2020/21(*)
1.0,Stephen Curry,"$43,006,362","$50,899,072"
2.0,Chris Paul,"$41,358,814","$48,949,159"
2.0,Russell Westbrook,"$41,358,814","$48,949,159"
4.0,James Harden,"$41,254,920","$48,826,198"
4.0,John Wall,"$41,254,920","$48,826,198"
6.0,Kevin Durant,"$40,108,950","$47,469,914"
7.0,LeBron James,"$39,219,566","$46,417,307"
8.0,Paul George,"$35,450,412","$41,956,422"
9.0,Klay Thompson,"$35,361,360","$41,851,026"
10.0,Mike Conley,"$34,502,132","$40,834,109"
11.0,Kemba Walker,"$34,379,100","$40,688,498"
11.0,Kawhi Leonard,"$34,379,100","$40,688,498"
11.0,Jimmy Butler,"$34,379,100","$40,688,498"
14.0,Tobias Harris,"$34,358,850","$40,664,532"
15.0,Blake Griffin,"$33,900,241","$40,121,756"
16.0,Kyrie Irving,"$33,722,850","$39,911,810"
17.0,Khris Middleton,"$33,051,724","$39,117,516"
18.0,Anthony Davis,"$32,742,000","$38,750,950"
19.0,Damian Lillard,"$31,626,953","$37,431,265"
20.0,Kevin Love,"$31,258,256","$36,994,903"
21.0,Ben Simmons,"$30,559,200","$36,167,554"
21.0,Pascal Siakam,"$30,559,200","$36,167,554"
23.0,Kyle Lowry,"$30,500,000","$36,097,489"
24.0,Steven Adams,"$29,592,695","$35,023,672"
25.0,Nikola Jokic,"$29,542,010","$34,963,685"
25.0,Andrew Wiggins,"$29,542,010","$34,963,685"
25.0,Joel Embiid,"$29,542,010","$34,963,685"
28.0,Kristaps Porzingis,"$29,467,800","$34,875,855"
28.0,Karl-Anthony Towns,"$29,467,800","$34,875,855"
28.0,Devin Booker,"$29,467,800","$34,875,855"
31.0,CJ McCollum,"$29,354,152","$34,741,350"
32.0,Andre Drummond,"$28,751,774","$34,028,421"
32.0,Bradley Beal,"$28,751,774","$34,028,421"
34.0,D'Angelo Russell,"$28,649,250","$33,907,081"
35.0,Gordon Hayward,"$28,500,000","$33,730,441"
36.0,Otto Porter,"$28,489,239","$33,717,705"
