Unnamed: 0,Player,2004/05,2004/05(*)
1.0,Shaquille O'Neal,"$27,696,430","$44,546,283"
2.0,Dikembe Mutombo,"$19,485,719","$31,340,370"
3.0,Allan Houston,"$17,531,250","$28,196,848"
3.0,Chris Webber,"$17,531,250","$28,196,848"
5.0,Kevin Garnett,"$16,000,000","$25,734,022"
6.0,Jason Kidd,"$14,796,000","$23,797,536"
6.0,Jermaine O'Neal,"$14,796,000","$23,797,536"
8.0,Antoine Walker,"$14,625,000","$23,522,504"
8.0,Zydrunas Ilgauskas,"$14,625,000","$23,522,504"
8.0,Latrell Sprewell,"$14,625,000","$23,522,504"
8.0,Anfernee Hardaway,"$14,625,000","$23,522,504"
8.0,Stephon Marbury,"$14,625,000","$23,522,504"
8.0,Ray Allen,"$14,625,000","$23,522,504"
8.0,Allen Iverson,"$14,625,000","$23,522,504"
8.0,Shareef Abdur-Rahim,"$14,625,000","$23,522,504"
16.0,Michael Finley,"$14,609,375","$23,497,373"
17.0,Tracy McGrady,"$14,487,000","$23,300,548"
17.0,Keith Van Horn,"$14,487,000","$23,300,548"
17.0,Grant Hill,"$14,487,000","$23,300,548"
17.0,Jalen Rose,"$14,487,000","$23,300,548"
21.0,Tim Duncan,"$14,260,641","$22,936,478"
22.0,Kobe Bryant,"$14,175,000","$22,798,735"
23.0,Eddie Jones,"$13,455,000","$21,640,704"
24.0,Brian Grant,"$13,233,434","$21,284,342"
25.0,Antonio Davis,"$12,925,000","$20,788,264"
26.0,Tim Thomas,"$12,900,000","$20,748,055"
27.0,Paul Pierce,"$12,584,688","$20,240,914"
27.0,Vince Carter,"$12,584,688","$20,240,914"
27.0,Dirk Nowitzki,"$12,584,688","$20,240,914"
27.0,Antawn Jamison,"$12,584,688","$20,240,914"
31.0,Damon Stoudamire,"$12,500,000","$20,104,704"
32.0,Baron Davis,"$12,330,000","$19,831,280"
32.0,Steve Francis,"$12,330,000","$19,831,280"
32.0,Shawn Marion,"$12,330,000","$19,831,280"
35.0,Glenn Robinson,"$12,071,250","$19,415,113"
36.0,Elton Brand,"$12,056,000","$19,390,585"
37.0,Nick Van Exel,"$11,933,252","$19,193,160"
38.0,Carlos Boozer,"$10,967,500","$17,639,867"
39.0,Theo Ratliff,"$10,937,500","$17,591,616"
