Unnamed: 0,Player,2006/07,2006/07(*)
1.0,Kevin Garnett,"$21,000,000","$31,578,555"
2.0,Shaquille O'Neal,"$20,000,000","$30,074,815"
3.0,Michael Finley,"$19,030,999","$28,617,688"
4.0,Chris Webber,"$18,261,024","$27,459,845"
5.0,Jason Kidd,"$18,084,000","$27,193,647"
5.0,Jermaine O'Neal,"$18,084,000","$27,193,647"
7.0,Kobe Bryant,"$17,718,750","$26,644,406"
8.0,Tim Duncan,"$17,429,672","$26,209,708"
9.0,Allen Iverson,"$17,184,375","$25,840,845"
9.0,Stephon Marbury,"$17,184,375","$25,840,845"
11.0,Tracy McGrady,"$16,901,500","$25,415,474"
11.0,Grant Hill,"$16,901,500","$25,415,474"
13.0,Brian Grant,"$16,786,950","$25,243,220"
14.0,Jalen Rose,"$16,141,500","$24,272,630"
15.0,Ben Wallace,"$16,000,000","$24,059,852"
16.0,Eddie Jones,"$15,395,472","$23,150,797"
17.0,Paul Pierce,"$15,101,625","$22,708,929"
17.0,Vince Carter,"$15,101,625","$22,708,929"
17.0,Dirk Nowitzki,"$15,101,625","$22,708,929"
17.0,Antawn Jamison,"$15,101,625","$22,708,929"
21.0,Baron Davis,"$15,070,000","$22,661,373"
21.0,Steve Francis,"$15,070,000","$22,661,373"
21.0,Shawn Marion,"$15,070,000","$22,661,373"
24.0,Ray Allen,"$14,611,570","$21,972,013"
25.0,Elton Brand,"$14,248,000","$21,425,298"
26.0,Larry Hughes,"$13,363,012","$20,094,505"
27.0,Michael Redd,"$13,260,000","$19,939,602"
28.0,Joe Johnson,"$12,744,189","$19,163,956"
29.0,Mike Bibby,"$12,500,000","$18,796,759"
30.0,Yao Ming,"$12,455,000","$18,729,091"
30.0,Amare Stoudemire,"$12,455,000","$18,729,091"
32.0,Pau Gasol,"$12,364,000","$18,592,250"
32.0,Andrei Kirilenko,"$12,364,000","$18,592,250"
34.0,Lamar Odom,"$12,348,596","$18,569,087"
35.0,Kenyon Martin,"$12,068,182","$18,147,417"
36.0,Zach Randolph,"$12,000,000","$18,044,889"
37.0,Wally Szczerbiak,"$11,775,000","$17,706,547"
38.0,Theo Ratliff,"$11,666,666","$17,543,641"
39.0,Rasheed Wallace,"$11,650,000","$17,518,579"
40.0,Raef LaFrentz,"$11,532,037","$17,341,194"
41.0,Carlos Boozer,"$11,260,483","$16,932,847"
42.0,Richard Jefferson,"$11,200,000","$16,841,896"
43.0,Gilbert Arenas,"$11,096,800","$16,686,710"
44.0,Derek Anderson,"$11,043,897","$16,607,157"
45.0,Predrag Stojakovic,"$10,800,000","$16,240,400"
46.0,Steve Nash,"$10,500,000","$15,789,277"
47.0,Jason Richardson,"$9,999,999","$15,037,406"
48.0,Erick Dampier,"$9,628,000","$14,478,016"
49.0,Brad Miller,"$9,625,000","$14,473,504"
50.0,Samuel Dalembert,"$9,464,307","$14,231,864"
51.0,Tony Parker,"$9,450,000","$14,210,350"
52.0,Zydrunas Ilgauskas,"$9,442,697","$14,199,368"
53.0,Rashard Lewis,"$9,350,649","$14,060,952"
54.0,Jerry Stackhouse,"$9,296,874","$13,980,088"
55.0,Richard Hamilton,"$9,187,500","$13,815,618"
56.0,Tyson Chandler,"$9,150,000","$13,759,227"
57.0,Marcus Camby,"$8,800,000","$13,232,918"
58.0,Andre Miller,"$8,733,333","$13,132,668"
59.0,Bobby Simmons,"$8,640,000","$12,992,320"
60.0,Maurice Taylor,"$8,565,918","$12,880,919"
61.0,PJ Brown,"$8,560,000","$12,872,020"
62.0,Jamaal Magloire,"$8,433,334","$12,681,548"
63.0,Kwame Brown,"$8,287,500","$12,462,251"
64.0,Troy Murphy,"$8,285,714","$12,459,565"
65.0,Manu Ginobili,"$8,254,375","$12,412,440"
66.0,Jason Williams,"$8,250,000","$12,405,861"
66.0,Mehmet Okur,"$8,250,000","$12,405,861"
68.0,Eddy Curry,"$8,171,103","$12,287,220"
69.0,Adonal Foyle,"$8,125,000","$12,217,893"
69.0,Cuttino Mobley,"$8,125,000","$12,217,893"
71.0,Jason Terry,"$8,100,000","$12,180,300"
72.0,Aaron McKie,"$8,070,874","$12,136,501"
73.0,Desmond Mason,"$8,037,037","$12,085,620"
74.0,Nenê,"$8,000,000","$12,029,926"
75.0,Tayshaun Prince,"$7,851,240","$11,806,229"
76.0,Kurt Thomas,"$7,821,482","$11,761,481"
77.0,Darius Miles,"$7,750,000","$11,653,990"
78.0,Calvin Booth,"$7,628,858","$11,471,824"
79.0,Al Harrington,"$7,625,000","$11,466,023"
80.0,Mike Miller,"$7,623,813","$11,464,238"
81.0,Antoine Walker,"$7,606,820","$11,438,685"
82.0,Metta World Peace,"$7,526,316","$11,317,628"
83.0,Quentin Richardson,"$7,525,500","$11,316,401"
84.0,Malik Rose,"$7,525,397","$11,316,246"
85.0,Mike Dunleavy,"$7,438,016","$11,184,847"
86.0,Caron Butler,"$7,438,000","$11,184,823"
