Unnamed: 0,Player,2005/06,2005/06(*)
1.0,Shaquille O'Neal,"$20,000,000","$31,373,676"
2.0,Allan Houston,"$19,125,000","$30,001,077"
2.0,Chris Webber,"$19,125,000","$30,001,077"
4.0,Michael Finley,"$18,612,500","$29,197,127"
5.0,Kevin Garnett,"$18,000,000","$28,236,308"
6.0,Stephon Marbury,"$16,453,125","$25,809,750"
6.0,Allen Iverson,"$16,453,125","$25,809,750"
8.0,Jason Kidd,"$16,440,000","$25,789,161"
8.0,Jermaine O'Neal,"$16,440,000","$25,789,161"
10.0,Brian Grant,"$16,006,220","$25,108,697"
11.0,Kobe Bryant,"$15,946,875","$25,015,604"
12.0,Tim Duncan,"$15,845,156","$24,856,039"
13.0,Anfernee Hardaway,"$15,750,000","$24,706,769"
14.0,Keith Van Horn,"$15,694,250","$24,619,315"
14.0,Tracy McGrady,"$15,694,250","$24,619,315"
14.0,Grant Hill,"$15,694,250","$24,619,315"
14.0,Jalen Rose,"$15,694,250","$24,619,315"
18.0,Eddie Jones,"$14,576,250","$22,865,527"
19.0,Tim Thomas,"$13,975,000","$21,922,356"
20.0,Antonio Davis,"$13,925,000","$21,843,921"
21.0,Paul Pierce,"$13,843,156","$21,715,534"
21.0,Vince Carter,"$13,843,156","$21,715,534"
21.0,Dirk Nowitzki,"$13,843,156","$21,715,534"
21.0,Antawn Jamison,"$13,843,156","$21,715,534"
25.0,Baron Davis,"$13,700,000","$21,490,968"
25.0,Steve Francis,"$13,700,000","$21,490,968"
25.0,Shawn Marion,"$13,700,000","$21,490,968"
28.0,Ray Allen,"$13,223,140","$20,742,925"
29.0,Elton Brand,"$13,152,000","$20,631,329"
30.0,Joe Johnson,"$12,000,000","$18,824,205"
30.0,Michael Redd,"$12,000,000","$18,824,205"
32.0,Theo Ratliff,"$11,666,666","$18,301,310"
33.0,Carlos Boozer,"$11,593,816","$18,187,031"
34.0,Mike Bibby,"$11,500,000","$18,039,863"
35.0,Lamar Odom,"$11,465,333","$17,985,482"
36.0,Pau Gasol,"$10,993,000","$17,244,541"
37.0,Andrei Kirilenko,"$10,983,000","$17,228,854"
38.0,Rasheed Wallace,"$10,860,000","$17,035,906"
39.0,Derek Anderson,"$10,763,000","$16,883,742"
40.0,Zach Randolph,"$10,666,667","$16,732,627"
41.0,Kenyon Martin,"$10,636,364","$16,685,091"
42.0,Raef LaFrentz,"$10,623,288","$16,664,579"
43.0,Larry Hughes,"$10,344,900","$16,227,877"
44.0,Gilbert Arenas,"$10,243,200","$16,068,341"
45.0,Richard Jefferson,"$10,200,000","$16,000,574"
46.0,Jamal Mashburn,"$10,075,000","$15,804,489"
47.0,Wally Szczerbiak,"$10,000,000","$15,686,838"
48.0,Doug Christie,"$9,775,000","$15,333,883"
49.0,Steve Nash,"$9,625,000","$15,098,581"
50.0,Vin Baker,"$9,183,333","$14,405,745"
51.0,Marcus Camby,"$9,150,000","$14,353,456"
52.0,Maurice Taylor,"$9,100,000","$14,275,022"
53.0,Tyson Chandler,"$9,000,000","$14,118,154"
54.0,Shandon Anderson,"$8,935,000","$14,016,189"
55.0,Jason Richardson,"$8,888,888","$13,943,854"
56.0,Brad Miller,"$8,750,000","$13,725,983"
57.0,Zydrunas Ilgauskas,"$8,740,000","$13,710,296"
58.0,Erick Dampier,"$8,662,500","$13,588,723"
59.0,Kelvin Cato,"$8,640,000","$13,553,428"
60.0,Richard Hamilton,"$8,625,000","$13,529,897"
61.0,Rashard Lewis,"$8,571,429","$13,445,861"
62.0,Jamaal Magloire,"$8,533,333","$13,386,101"
63.0,Aaron McKie,"$8,500,000","$13,333,811"
64.0,Samuel Dalembert,"$8,470,000","$13,286,751"
65.0,Tony Parker,"$8,400,000","$13,176,943"
66.0,Jerry Stackhouse,"$8,367,187","$13,125,470"
67.0,Mehmet Okur,"$8,250,000","$12,941,641"
68.0,Andre Miller,"$8,100,000","$12,706,338"
69.0,Bobby Simmons,"$8,000,000","$12,549,470"
69.0,PJ Brown,"$8,000,000","$12,549,470"
69.0,Bonzi Wells,"$8,000,000","$12,549,470"
72.0,Austin Croshere,"$7,900,000","$12,392,602"
73.0,Lorenzen Wright,"$7,700,000","$12,078,865"
74.0,Jason Williams,"$7,562,500","$11,863,171"
75.0,Ben Wallace,"$7,500,000","$11,765,128"
75.0,Kwame Brown,"$7,500,000","$11,765,128"
75.0,Predrag Stojakovic,"$7,500,000","$11,765,128"
78.0,Manu Ginobili,"$7,428,937","$11,653,653"
79.0,Eddy Curry,"$7,390,000","$11,592,573"
80.0,Troy Murphy,"$7,365,079","$11,553,480"
81.0,Desmond Mason,"$7,333,333","$11,503,680"
