0,1,2,3
RK,NAME,TEAM,SALARY
1,"Kobe Bryant, SF",Los Angeles Lakers,"$23,034,375"
2,"Jermaine O'Neal, C",Miami Heat,"$23,016,000"
3,"Tracy McGrady, SG",New York Knicks,"$22,843,124"
4,"Tim Duncan, C",San Antonio Spurs,"$22,183,220"
5,"Shaquille O'Neal, C",Cleveland Cavaliers,"$21,000,000"
6,"Dirk Nowitzki, F",Dallas Mavericks,"$19,795,714"
7,"Paul Pierce, SF",Boston Celtics,"$19,795,712"
8,"Ray Allen, SG",Boston Celtics,"$18,776,860"
9,"Rashard Lewis, PF",Orlando Magic,"$18,010,791"
10,"Michael Redd, SG",Milwaukee Bucks,"$17,040,000"
RK,NAME,TEAM,SALARY
11,"Pau Gasol, PF",Los Angeles Lakers,"$16,452,000"
12,"Andrei Kirilenko, SF",Utah Jazz,"$16,452,000"
13,"Kevin Garnett, PF",Boston Celtics,"$16,417,044"
14,"Amar'e Stoudemire, C",Phoenix Suns,"$16,378,325"
15,"Yao Ming, C",Houston Rockets,"$16,378,325"
16,"Gilbert Arenas, PG",Washington Wizards,"$16,192,080"
17,"Vince Carter, G",Orlando Magic,"$16,123,250"
18,"Zach Randolph, F",Memphis Grizzlies,"$16,000,000"
19,"Kenyon Martin, PF",Denver Nuggets,"$15,852,511"
20,"Dwyane Wade, G",Miami Heat,"$15,779,912"
RK,NAME,TEAM,SALARY
21,"Chris Bosh, PF",Toronto Raptors,"$15,779,912"
22,"Carmelo Anthony, PF",Denver Nuggets,"$15,779,912"
23,"LeBron James, SF",Cleveland Cavaliers,"$15,779,912"
24,"Dwight Howard, C",Orlando Magic,"$15,202,590"
25,"Joe Johnson, G",Atlanta Hawks,"$14,976,754"
26,"Elton Brand, PF",Philadelphia 76ers,"$14,858,472"
27,"Richard Jefferson, F",San Antonio Spurs,"$14,200,000"
28,"Chris Paul, PG",New Orleans Hornets,"$13,520,500"
29,"Deron Williams, PG",Utah Jazz,"$13,520,500"
30,"Peja Stojakovic, SF",New Orleans Hornets,"$13,392,000"
RK,NAME,TEAM,SALARY
31,"Jason Richardson, SG",Phoenix Suns,"$13,333,332"
32,"Steve Nash, PG",Phoenix Suns,"$13,125,000"
33,"Tony Parker, G",San Antonio Spurs,"$12,600,000"
34,"Andrew Bynum, C",Los Angeles Lakers,"$12,500,000"
35,"Carlos Boozer, PF",Utah Jazz,"$12,323,900"
36,"Brad Miller, C",Chicago Bulls,"$12,250,000"
37,"Andre Iguodala, F",Philadelphia 76ers,"$12,200,000"
38,"Erick Dampier, C",Dallas Mavericks,"$12,115,500"
39,"Baron Davis, PG",LA Clippers,"$12,100,000"
40,"Chauncey Billups, PG",Denver Nuggets,"$12,100,000"
RK,NAME,TEAM,SALARY
41,"Samuel Dalembert, C",Philadelphia 76ers,"$12,025,694"
42,"Al Jefferson, C",Minnesota Timberwolves,"$12,000,000"
43,"Tyson Chandler, C",Charlotte Bobcats,"$11,700,000"
44,"Antawn Jamison, PF",Cleveland Cavaliers,"$11,641,095"
45,"Richard Hamilton, SG",Detroit Pistons,"$11,375,000"
46,"Bobby Simmons, SF",New Jersey Nets,"$11,242,666"
47,"Troy Murphy, PF",Indiana Pacers,"$11,047,619"
48,"Monta Ellis, SG",Golden State Warriors,"$11,000,000"
49,"Josh Howard, SF",Washington Wizards,"$10,890,000"
50,"Josh Smith, PF",Atlanta Hawks,"$10,800,000"
RK,NAME,TEAM,SALARY
51,"Emeka Okafor, C",New Orleans Hornets,"$10,797,500"
52,"Manu Ginobili, G",San Antonio Spurs,"$10,728,130"
53,"Nene Hilario, C",Denver Nuggets,"$10,520,000"
54,"Eddy Curry, NA",New York Knicks,"$10,500,423"
55,"Chris Kaman, C",LA Clippers,"$10,400,000"
56,"Luol Deng, F",Chicago Bulls,"$10,365,000"
57,"Tayshaun Prince, SF",Detroit Pistons,"$10,324,380"
58,"Danny Granger, SF",Indiana Pacers,"$10,130,500"
59,"Al Harrington, PF",New York Knicks,"$10,026,875"
60,"Andrew Bogut, C",Milwaukee Bucks,"$10,000,000"
RK,NAME,TEAM,SALARY
61,"Ben Gordon, SG",Detroit Pistons,"$10,000,000"
62,"Mike Dunleavy, SG",Indiana Pacers,"$9,780,992"
63,"Caron Butler, SF",Dallas Mavericks,"$9,780,970"
64,"Mike Miller, SG",Washington Wizards,"$9,780,937"
65,"Kevin Martin, SG",Houston Rockets,"$9,680,170"
66,"Gerald Wallace, SF",Charlotte Bobcats,"$9,500,000"
67,"Cuttino Mobley, SG",LA Clippers,"$9,500,000"
68,"Kirk Hinrich, SG",Chicago Bulls,"$9,500,000"
69,"Jamal Crawford, G",Atlanta Hawks,"$9,360,000"
70,"Marcus Camby, C",Portland Trail Blazers,"$9,150,000"
RK,NAME,TEAM,SALARY
71,"Jason Terry, G",Dallas Mavericks,"$9,075,000"
72,"David West, F",New Orleans Hornets,"$9,075,000"
73,"Andris Biedrins, C",Golden State Warriors,"$9,000,000"
74,"Boris Diaw, C",Charlotte Bobcats,"$9,000,000"
75,"Mehmet Okur, C",Utah Jazz,"$9,000,000"
76,"Hedo Turkoglu, SF",Toronto Raptors,"$9,000,000"
77,"Corey Maggette, SF",Golden State Warriors,"$8,937,931"
78,"Mo Williams, PG",Cleveland Cavaliers,"$8,860,000"
79,"Kenny Thomas, PF",Sacramento Kings,"$8,775,000"
80,"Quentin Richardson, SF",Miami Heat,"$8,700,000"
RK,NAME,TEAM,SALARY
81,"T.J. Ford, PG",Indiana Pacers,"$8,500,000"
82,"Devin Harris, G",New Jersey Nets,"$8,400,000"
83,"Jose Calderon, G",Toronto Raptors,"$8,219,009"
84,"Jason Kidd, PG",Dallas Mavericks,"$8,100,000"
85,"Jameer Nelson, G",Orlando Magic,"$8,100,000"
86,"Mark Blount, C",Miami Heat,"$7,967,375"
87,"Etan Thomas, C",Oklahoma City Thunder,"$7,906,088"
88,"Paul Millsap, PF",Utah Jazz,"$7,692,932"
89,"Stephen Jackson, SF",Charlotte Bobcats,"$7,650,000"
90,"Darko Milicic, C",Minnesota Timberwolves,"$7,540,000"
RK,NAME,TEAM,SALARY
91,"Andres Nocioni, SF",Sacramento Kings,"$7,500,000"
92,"Lamar Odom, PF",Los Angeles Lakers,"$7,500,000"
93,"Marvin Williams, F",Atlanta Hawks,"$7,500,000"
94,"Marko Jaric, PG",Brooklyn Nets,"$7,100,000"
95,"Udonis Haslem, PF",Miami Heat,"$7,100,000"
96,"David Lee, PF",New York Knicks,"$7,000,000"
97,"Shane Battier, SF",Houston Rockets,"$6,939,200"
98,"Joel Przybilla, C",Portland Trail Blazers,"$6,857,725"
99,"Dan Gadzuric, C",Milwaukee Bucks,"$6,749,260"
100,"Andre Miller, PG",Portland Trail Blazers,"$6,730,800"
RK,NAME,TEAM,SALARY
101,"Shawn Marion, SG",Dallas Mavericks,"$6,635,068"
102,"Tony Battie, C",New Jersey Nets,"$6,606,600"
