0,1,2,3
RK,NAME,TEAM,SALARY
1,"Kobe Bryant, SF",Los Angeles Lakers,"$24,806,250"
2,"Rashard Lewis, PF",Washington Wizards,"$19,573,711"
3,"Tim Duncan, C",San Antonio Spurs,"$18,835,381"
4,"Kevin Garnett, PF",Boston Celtics,"$18,832,044"
5,"Michael Redd, SG",Milwaukee Bucks,"$18,300,000"
6,"Pau Gasol, PF",Los Angeles Lakers,"$17,823,000"
7,"Andrei Kirilenko, SF",Utah Jazz,"$17,823,000"
8,"Gilbert Arenas, PG",Orlando Magic,"$17,730,694"
9,"Yao Ming, C",Houston Rockets,"$17,686,100"
10,"Zach Randolph, F",Memphis Grizzlies,"$17,666,666"
RK,NAME,TEAM,SALARY
11,"Vince Carter, G",Phoenix Suns,"$17,522,375"
12,"Dirk Nowitzki, F",Dallas Mavericks,"$17,278,618"
13,"Carmelo Anthony, PF",New York Knicks,"$17,149,243"
14,"Dwight Howard, C",Orlando Magic,"$16,647,180"
15,"Kenyon Martin, PF",Denver Nuggets,"$16,545,454"
16,"Amar'e Stoudemire, C",New York Knicks,"$16,486,611"
17,"Joe Johnson, G",Atlanta Hawks,"$16,324,500"
18,"Elton Brand, PF",Philadelphia 76ers,"$15,959,099"
19,"Chris Paul, PG",New Orleans Hornets,"$14,940,153"
20,"Deron Williams, PG",New Jersey Nets,"$14,940,153"
RK,NAME,TEAM,SALARY
21,"Chris Bosh, PF",Miami Heat,"$14,500,000"
22,"LeBron James, SF",Miami Heat,"$14,500,000"
23,"Jason Richardson, SG",Orlando Magic,"$14,444,443"
24,"Carlos Boozer, PF",Chicago Bulls,"$14,400,000"
25,"Dwyane Wade, G",Miami Heat,"$14,200,000"
26,"Baron Davis, PG",Cleveland Cavaliers,"$14,000,000"
27,"Paul Pierce, SF",Boston Celtics,"$13,876,321"
28,"Andrew Bynum, C",Los Angeles Lakers,"$13,700,000"
29,"Brandon Roy, SG",Portland Trail Blazers,"$13,603,750"
30,"Rudy Gay, SF",Memphis Grizzlies,"$13,603,750"
RK,NAME,TEAM,SALARY
31,"Tony Parker, G",San Antonio Spurs,"$13,500,000"
32,"Samuel Dalembert, C",Sacramento Kings,"$13,428,129"
33,"Antawn Jamison, PF",Cleveland Cavaliers,"$13,358,905"
34,"Nick Collison, F",Oklahoma City Thunder,"$13,270,000"
35,"Chauncey Billups, PG",New York Knicks,"$13,150,000"
36,"Al Jefferson, C",Utah Jazz,"$13,000,000"
37,"Tyson Chandler, C",Dallas Mavericks,"$12,600,000"
38,"Richard Hamilton, SG",Detroit Pistons,"$12,500,000"
39,"Andre Iguodala, F",Philadelphia 76ers,"$12,345,250"
40,"Manu Ginobili, G",San Antonio Spurs,"$11,854,584"
RK,NAME,TEAM,SALARY
41,"Chris Kaman, C",LA Clippers,"$11,800,000"
42,"Marcus Camby, C",Portland Trail Blazers,"$11,749,832"
43,"Josh Smith, PF",Atlanta Hawks,"$11,700,000"
44,"Eddy Curry, NA",Dallas Mavericks,"$11,530,592"
45,"Emeka Okafor, C",New Orleans Hornets,"$11,495,000"
46,"Nene Hilario, C",Denver Nuggets,"$11,360,000"
47,"Luol Deng, F",Chicago Bulls,"$11,345,000"
48,"LaMarcus Aldridge, C",Portland Trail Blazers,"$11,244,000"
49,"Tayshaun Prince, SF",Detroit Pistons,"$11,148,760"
50,"Monta Ellis, SG",Golden State Warriors,"$11,000,000"
RK,NAME,TEAM,SALARY
51,"Andrew Bogut, C",Milwaukee Bucks,"$11,000,000"
52,"Danny Granger, SF",Indiana Pacers,"$10,973,202"
53,"David Lee, PF",Golden State Warriors,"$10,800,000"
54,"Jamal Crawford, G",Atlanta Hawks,"$10,800,000"
55,"Ben Gordon, SG",Detroit Pistons,"$10,800,000"
56,"Kevin Martin, SG",Houston Rockets,"$10,600,005"
57,"Mike Dunleavy, SG",Indiana Pacers,"$10,561,984"
58,"Caron Butler, SF",Dallas Mavericks,"$10,561,960"
59,"Gerald Wallace, SF",Portland Trail Blazers,"$10,500,000"
60,"Steve Nash, PG",Phoenix Suns,"$10,310,938"
RK,NAME,TEAM,SALARY
61,"Hedo Turkoglu, SF",Orlando Magic,"$10,215,850"
62,"Ray Allen, SG",Boston Celtics,"$10,000,000"
63,"Mehmet Okur, C",Utah Jazz,"$9,945,000"
64,"Jason Terry, G",Dallas Mavericks,"$9,873,000"
65,"Corey Maggette, SF",Milwaukee Bucks,"$9,600,000"
66,"Cuttino Mobley, SG",LA Clippers,"$9,500,000"
67,"Mo Williams, PG",LA Clippers,"$9,300,000"
68,"Kirk Hinrich, SG",Atlanta Hawks,"$9,100,000"
