0,1,2,3
RK,NAME,TEAM,SALARY
1,"Kevin Garnett, PF",Minnesota Timberwolves,"$25,200,000"
2,"Shaquille O'Neal, C",Los Angeles Lakers,"$23,571,000"
3,"Shawn Kemp, C",Orlando Magic,"$21,500,000"
4,"Juwan Howard, PF",Denver Nuggets,"$20,625,000"
5,"Scottie Pippen, SF",Portland Trail Blazers,"$19,727,000"
6,"Karl Malone, PF",Utah Jazz,"$19,250,000"
7,"Rasheed Wallace, PF",Portland Trail Blazers,"$16,200,000"
8,"Dikembe Mutombo, C",New Jersey Nets,"$16,105,000"
9,"Chris Webber, C",Sacramento Kings,"$14,343,000"
10,"Damon Stoudamire, PG",Portland Trail Blazers,"$13,500,000"
RK,NAME,TEAM,SALARY
11,"Gary Payton, PG",Milwaukee Bucks,"$13,080,000"
12,"Antoine Walker, PF",Boston Celtics,"$12,375,000"
13,"Shareef Abdur-Rahim, PF",Atlanta Hawks,"$12,375,000"
14,"Allen Iverson, SG",Philadelphia 76ers,"$12,375,000"
15,"Latrell Sprewell, SG",New York Knicks,"$12,375,000"
16,"Vin Baker, PF",Boston Celtics,"$12,375,000"
17,"Zydrunas Ilgauskas, C",Cleveland Cavaliers,"$12,375,000"
18,"Anfernee Hardaway, SF",Phoenix Suns,"$12,375,000"
19,"Ray Allen, SG",Seattle SuperSonics,"$12,375,000"
20,"Kobe Bryant, SF",Los Angeles Lakers,"$12,375,000"
RK,NAME,TEAM,SALARY
21,"Stephon Marbury, PG",Phoenix Suns,"$12,375,000"
22,"Tracy McGrady, SG",Orlando Magic,"$12,072,000"
23,"Tim Duncan, C",San Antonio Spurs,"$12,072,000"
24,"Jalen Rose, SG",Chicago Bulls,"$12,072,000"
25,"Keith Van Horn, PF",Philadelphia 76ers,"$12,072,000"
26,"Grant Hill, SF",Orlando Magic,"$12,072,000"
27,"Reggie Miller, SG",Indiana Pacers,"$12,046,000"
28,"Antonio Davis, PF",Toronto Raptors,"$12,000,000"
29,"Michael Finley, SG",Dallas Mavericks,"$11,953,000"
30,"Vlade Divac, C",Sacramento Kings,"$11,248,000"
RK,NAME,TEAM,SALARY
31,"Eddie Jones, SG",Miami Heat,"$11,200,000"
32,"Brian Grant, PF",Miami Heat,"$11,121,000"
33,"Allan Houston, SG",New York Knicks,"$11,000,000"
34,"Tom Gugliotta, PF",Phoenix Suns,"$10,890,000"
35,"Tim Thomas, PF",Milwaukee Bucks,"$10,750,000"
36,"Vince Carter, G",Toronto Raptors,"$10,625,000"
37,"David Robinson, C",San Antonio Spurs,"$10,500,000"
38,"Nick Van Exel, PG",Dallas Mavericks,"$10,003,000"
39,"Steve Smith, SG",San Antonio Spurs,"$9,900,000"
40,"Glenn Robinson, SF",Atlanta Hawks,"$9,860,000"
RK,NAME,TEAM,SALARY
41,"Derrick Coleman, PF",Philadelphia 76ers,"$9,830,000"
42,"Theo Ratliff, C",Atlanta Hawks,"$9,375,000"
43,"Jason Kidd, PG",New Jersey Nets,"$9,260,000"
44,"Glen Rice, SF",Houston Rockets,"$9,200,000"
45,"Kenny Anderson, PG",New Orleans Hornets,"$9,185,000"
46,"John Stockton, G",Utah Jazz,"$9,000,000"
47,"Kerry Kittles, SG",New Jersey Nets,"$8,717,000"
48,"Clifford Robinson, PF",Detroit Pistons,"$8,421,000"
49,"Toni Kukoc, SF",Milwaukee Bucks,"$8,050,000"
50,"Dale Davis, PF",Portland Trail Blazers,"$8,000,000"
RK,NAME,TEAM,SALARY
51,"Elden Campbell, C",Seattle SuperSonics,"$7,975,000"
52,"Greg Ostertag, C",Utah Jazz,"$7,799,000"
53,"Jamal Mashburn, SF",New Orleans Hornets,"$7,750,000"
54,"Maurice Taylor, PF",Houston Rockets,"$7,150,000"
55,"Derek Anderson, SG",Portland Trail Blazers,"$7,145,000"
56,"Donyell Marshall, PF",Chicago Bulls,"$7,140,000"
57,"Alan Henderson, PF",Atlanta Hawks,"$7,091,000"
58,"P.J. Brown, PF",New Orleans Hornets,"$7,044,000"
59,"Wesley Person, SF",Memphis Grizzlies,"$7,000,000"
60,"Austin Croshere, PF",Indiana Pacers,"$6,960,000"
RK,NAME,TEAM,SALARY
61,"Jermaine O'Neal, C",Indiana Pacers,"$6,950,000"
62,"Erick Dampier, C",Golden State Warriors,"$6,858,000"
63,"Marcus Camby, C",Denver Nuggets,"$6,750,000"
64,"Kelvin Cato, C",Houston Rockets,"$6,696,000"
65,"Ron Mercer, SG",Indiana Pacers,"$6,618,000"
66,"Tyrone Hill, PF",Philadelphia 76ers,"$6,600,000"
67,"Bo Outlaw, PF",Phoenix Suns,"$6,555,000"
68,"Shandon Anderson, SF",New York Knicks,"$6,100,000"
69,"Michael Olowokandi, C",LA Clippers,"$6,061,000"
70,"Lorenzen Wright, PF",Memphis Grizzlies,"$6,050,000"
RK,NAME,TEAM,SALARY
71,"Jerry Stackhouse, SF",Washington Wizards,"$6,000,000"
72,"Chris Mills, SF",Golden State Warriors,"$6,000,000"
73,"Steve Nash, PG",Dallas Mavericks,"$5,750,000"
74,"Charlie Ward, PG",New York Knicks,"$5,750,000"
75,"Eddie Robinson, SF",Chicago Bulls,"$5,726,000"
76,"Doug Christie, SG",Sacramento Kings,"$5,625,000"
