0,1,2,3
RK,NAME,TEAM,SALARY
1,"Kevin Garnett, PF",Minnesota Timberwolves,"$28,000,000"
2,"Shaquille O'Neal, C",Los Angeles Lakers,"$26,571,000"
3,"Rasheed Wallace, PF",Detroit Pistons,"$18,000,000"
4,"Dikembe Mutombo, C",New York Knicks,"$17,895,000"
5,"Allan Houston, SG",New York Knicks,"$15,937,000"
6,"Chris Webber, C",Sacramento Kings,"$15,937,000"
7,"Damon Stoudamire, PG",Portland Trail Blazers,"$14,625,000"
8,"Antoine Walker, PF",Dallas Mavericks,"$13,500,000"
9,"Antonio McDyess, PF",Phoenix Suns,"$13,500,000"
10,"Shareef Abdur-Rahim, PF",Portland Trail Blazers,"$13,500,000"
RK,NAME,TEAM,SALARY
11,"Allen Iverson, SG",Philadelphia 76ers,"$13,500,000"
12,"Latrell Sprewell, SG",Minnesota Timberwolves,"$13,500,000"
13,"Vin Baker, PF",New York Knicks,"$13,500,000"
14,"Zydrunas Ilgauskas, C",Cleveland Cavaliers,"$13,500,000"
15,"Anfernee Hardaway, SF",New York Knicks,"$13,500,000"
16,"Ray Allen, SG",Seattle SuperSonics,"$13,500,000"
17,"Kobe Bryant, SF",Los Angeles Lakers,"$13,500,000"
18,"Stephon Marbury, PG",New York Knicks,"$13,500,000"
19,"Michael Finley, SG",Dallas Mavericks,"$13,281,000"
20,"Keith Van Horn, PF",Milwaukee Bucks,"$13,280,000"
RK,NAME,TEAM,SALARY
21,"Tracy McGrady, SG",Orlando Magic,"$13,279,000"
22,"Tim Duncan, C",San Antonio Spurs,"$13,279,000"
23,"Jalen Rose, SG",Toronto Raptors,"$13,279,000"
24,"Eddie Jones, SG",Miami Heat,"$12,320,000"
25,"Brian Grant, PF",Miami Heat,"$12,234,000"
26,"Vlade Divac, C",Sacramento Kings,"$12,051,000"
27,"Antonio Davis, PF",Chicago Bulls,"$12,000,000"
28,"Vince Carter, G",Toronto Raptors,"$11,953,000"
29,"Tim Thomas, PF",New York Knicks,"$11,825,000"
30,"Tom Gugliotta, PF",Utah Jazz,"$11,668,000"
RK,NAME,TEAM,SALARY
31,"Jason Kidd, PG",New Jersey Nets,"$10,950,000"
32,"Nick Van Exel, PG",Golden State Warriors,"$10,912,000"
33,"Glenn Robinson, SF",Philadelphia 76ers,"$10,730,000"
34,"Theo Ratliff, C",Portland Trail Blazers,"$10,156,000"
35,"Glen Rice, SF",LA Clippers,"$9,600,000"
36,"Kerry Kittles, SG",New Jersey Nets,"$9,267,000"
37,"Greg Ostertag, C",Utah Jazz,"$8,666,000"
38,"Jamal Mashburn, SF",New Orleans Hornets,"$8,525,000"
39,"Toni Kukoc, SF",Milwaukee Bucks,"$8,050,000"
40,"Maurice Taylor, PF",Houston Rockets,"$7,800,000"
RK,NAME,TEAM,SALARY
41,"Derek Anderson, SG",Portland Trail Blazers,"$7,794,000"
42,"Wesley Person, SF",Atlanta Hawks,"$7,700,000"
43,"Alan Henderson, PF",Atlanta Hawks,"$7,682,000"
44,"Austin Croshere, PF",Indiana Pacers,"$7,610,000"
45,"Erick Dampier, C",Golden State Warriors,"$7,482,000"
46,"Kelvin Cato, C",Houston Rockets,"$7,344,000"
47,"Marcus Camby, C",Denver Nuggets,"$7,250,000"
48,"Ron Mercer, SG",San Antonio Spurs,"$7,169,000"
49,"Shandon Anderson, SF",New York Knicks,"$6,700,000"
50,"Lorenzen Wright, PF",Memphis Grizzlies,"$6,600,000"
RK,NAME,TEAM,SALARY
51,"Jerry Stackhouse, SF",Washington Wizards,"$6,500,000"
52,"Elton Brand, PF",LA Clippers,"$6,364,000"
