0,1,2,3
RK,NAME,TEAM,SALARY
1,"Stephen Curry, PG",Golden State Warriors,"$37,457,154"
2,"LeBron James, SF",Los Angeles Lakers,"$35,654,150"
3,"Russell Westbrook, PG",Oklahoma City Thunder,"$35,654,150"
4,"Chris Paul, PG",Houston Rockets,"$35,654,150"
5,"Blake Griffin, PF",Detroit Pistons,"$32,088,932"
6,"Gordon Hayward, SF",Boston Celtics,"$31,214,295"
7,"Kyle Lowry, PG",Toronto Raptors,"$31,200,000"
8,"Paul George, F",Oklahoma City Thunder,"$30,560,700"
9,"Mike Conley, PG",Memphis Grizzlies,"$30,521,115"
10,"James Harden, SG",Houston Rockets,"$30,421,854"
RK,NAME,TEAM,SALARY
11,"Kevin Durant, PF",Golden State Warriors,"$30,000,000"
12,"Paul Millsap, PF",Denver Nuggets,"$29,230,769"
13,"Al Horford, C",Boston Celtics,"$28,928,709"
14,"Damian Lillard, PG",Portland Trail Blazers,"$27,977,689"
15,"DeMar DeRozan, SF",San Antonio Spurs,"$27,739,975"
16,"Otto Porter Jr., SF",Chicago Bulls,"$26,011,913"
17,"Jrue Holiday, PG",New Orleans Pelicans,"$25,976,111"
18,"CJ McCollum, SG",Portland Trail Blazers,"$25,759,766"
19,"Joel Embiid, C",Philadelphia 76ers,"$25,467,250"
20,"Andrew Wiggins, SF",Minnesota Timberwolves,"$25,467,250"
RK,NAME,TEAM,SALARY
21,"Bradley Beal, SG",Washington Wizards,"$25,434,263"
22,"Anthony Davis, PF",New Orleans Pelicans,"$25,434,263"
23,"Andre Drummond, C",Detroit Pistons,"$25,434,263"
24,"Hassan Whiteside, C",Miami Heat,"$25,434,262"
25,"Nikola Jokic, C",Denver Nuggets,"$24,605,181"
26,"Steven Adams, C",Oklahoma City Thunder,"$24,157,303"
27,"Giannis Antetokounmpo, PF",Milwaukee Bucks,"$24,157,303"
28,"Marc Gasol, C",Toronto Raptors,"$24,119,025"
29,"Kevin Love, PF",Cleveland Cavaliers,"$24,119,025"
30,"Harrison Barnes, SF",Sacramento Kings,"$24,107,258"
RK,NAME,TEAM,SALARY
31,"Chandler Parsons, SF",Memphis Grizzlies,"$24,107,258"
32,"Nicolas Batum, PF",Charlotte Hornets,"$24,000,000"
33,"Rudy Gobert, C",Utah Jazz,"$23,241,573"
34,"Kawhi Leonard, SF",Toronto Raptors,"$23,114,067"
35,"DeAndre Jordan, C",New York Knicks,"$22,897,200"
36,"LaMarcus Aldridge, C",San Antonio Spurs,"$22,347,015"
37,"Serge Ibaka, F",Toronto Raptors,"$21,666,667"
38,"Aaron Gordon, PF",Orlando Magic,"$21,590,909"
39,"Danilo Gallinari, PF",LA Clippers,"$21,587,579"
40,"Victor Oladipo, SG",Indiana Pacers,"$21,000,000"
RK,NAME,TEAM,SALARY
41,"Jimmy Butler, SF",Philadelphia 76ers,"$20,445,779"
42,"Ryan Anderson, PF",Miami Heat,"$20,421,546"
43,"Kyrie Irving, PG",Boston Celtics,"$20,099,189"
44,"Jabari Parker, PF",Washington Wizards,"$20,000,000"
45,"Zach LaVine, SG",Chicago Bulls,"$19,500,000"
46,"Tyler Johnson, G",Phoenix Suns,"$19,356,932"
