0,1,2,3
RK,NAME,TEAM,SALARY
1,"Kobe Bryant, SF",Los Angeles Lakers,"$30,453,805"
2,"Dirk Nowitzki, F",Dallas Mavericks,"$20,907,128"
3,"Amar'e Stoudemire, C",New York Knicks,"$19,948,799"
4,"Joe Johnson, G",Brooklyn Nets,"$19,752,645"
5,"Carmelo Anthony, PF",New York Knicks,"$19,444,503"
6,"Pau Gasol, PF",Los Angeles Lakers,"$19,285,850"
7,"Chris Bosh, PF",Miami Heat,"$19,067,500"
8,"LeBron James, SF",Miami Heat,"$19,067,500"
9,"Dwyane Wade, G",Miami Heat,"$18,673,000"
10,"Chris Paul, PG",LA Clippers,"$18,668,431"
RK,NAME,TEAM,SALARY
11,"Kevin Durant, PF",Oklahoma City Thunder,"$17,832,626"
12,"Derrick Rose, PG",Chicago Bulls,"$17,632,688"
13,"Deron Williams, PG",Brooklyn Nets,"$17,177,795"
14,"Andrew Bynum, C",Philadelphia 76ers,"$16,889,000"
15,"Paul Pierce, SF",Boston Celtics,"$16,790,345"
16,"Zach Randolph, F",Memphis Grizzlies,"$16,500,000"
17,"Rudy Gay, SF",Toronto Raptors,"$16,460,538"
18,"Carlos Boozer, PF",Chicago Bulls,"$15,300,000"
19,"Andre Iguodala, F",Denver Nuggets,"$14,968,250"
20,"Russell Westbrook, PG",Oklahoma City Thunder,"$14,693,906"
RK,NAME,TEAM,SALARY
21,"Emeka Okafor, C",Washington Wizards,"$14,487,500"
22,"Luol Deng, F",Chicago Bulls,"$14,275,000"
23,"Manu Ginobili, G",San Antonio Spurs,"$14,107,492"
24,"Marc Gasol, C",Memphis Grizzlies,"$13,891,359"
25,"Blake Griffin, PF",LA Clippers,"$13,701,250"
26,"Eric Gordon, SG",New Orleans Hornets,"$13,668,750"
27,"Brook Lopez, C",Brooklyn Nets,"$13,668,750"
28,"Kevin Love, PF",Minnesota Timberwolves,"$13,668,750"
29,"Roy Hibbert, C",Indiana Pacers,"$13,668,750"
30,"Tyson Chandler, C",New York Knicks,"$13,604,188"
RK,NAME,TEAM,SALARY
31,"LaMarcus Aldridge, C",Portland Trail Blazers,"$13,500,000"
32,"Al Jefferson, C",Utah Jazz,"$13,500,000"
