0,1,2,3
94,"Malik Rose, PF",Oklahoma City Thunder,"$7,647,500"
95,"Jose Calderon, G",Toronto Raptors,"$7,438,018"
96,"Metta World Peace, SF",Houston Rockets,"$7,400,000"
97,"Eric Snow, PG",Cleveland Cavaliers,"$7,312,500"
98,"Stephen Jackson, SF",Golden State Warriors,"$7,140,000"
99,"Darko Milicic, C",Memphis Grizzlies,"$7,020,000"
100,"Jerry Stackhouse, SF",Dallas Mavericks,"$7,000,000"
RK,NAME,TEAM,SALARY
101,"Marquis Daniels, SG",Indiana Pacers,"$6,864,200"
102,"Hedo Turkoglu, SF",Orlando Magic,"$6,864,200"
103,"Etan Thomas, C",Washington Wizards,"$6,864,200"
104,"Jamaal Tinsley, PG",Utah Jazz,"$6,750,000"
105,"Chris Wilcox, PF",New York Knicks,"$6,750,000"
106,"Marko Jaric, PG",Memphis Grizzlies,"$6,575,000"
107,"Udonis Haslem, PF",Miami Heat,"$6,575,000"
108,"Luke Ridnour, PG",Milwaukee Bucks,"$6,500,000"
109,"Bobby Jackson, PG",Sacramento Kings,"$6,487,888"
110,"Shane Battier, SF",Houston Rockets,"$6,448,900"
RK,NAME,TEAM,SALARY
111,"Ben Gordon, SG",Chicago Bulls,"$6,404,750"
112,"Nick Collison, F",Oklahoma City Thunder,"$6,350,000"
113,"Joel Przybilla, C",Portland Trail Blazers,"$6,310,150"
114,"Brian Cardinal, PF",Minnesota Timberwolves,"$6,300,000"
115,"Andrew Bogut, C",Milwaukee Bucks,"$6,294,195"
116,"Dan Gadzuric, C",Milwaukee Bucks,"$6,250,195"
117,"Mike James, PG",Washington Wizards,"$6,244,093"
118,"Shareef Abdur-Rahim, PF",Sacramento Kings,"$6,200,000"
119,"Earl Watson, PG",Oklahoma City Thunder,"$6,200,000"
120,"Antonio Daniels, PG",New Orleans Hornets,"$6,200,000"
RK,NAME,TEAM,SALARY
121,"Jason Collins, C",Minnesota Timberwolves,"$6,200,000"
122,"Jerome James, C",New York Knicks,"$6,200,000"
123,"Leandro Barbosa, G",Phoenix Suns,"$6,100,000"
124,"John Salmons, SF",Chicago Bulls,"$6,077,151"
125,"Nazr Mohammed, C",Charlotte Bobcats,"$6,049,400"
126,"Jared Jeffries, PF",New York Knicks,"$6,049,400"
127,"Tim Thomas, PF",Chicago Bulls,"$6,049,400"
128,"Vladimir Radmanovic, SF",Charlotte Bobcats,"$6,049,400"
129,"Matt Harpring, SF",Utah Jazz,"$6,000,000"
130,"Jason Kapono, SG",Toronto Raptors,"$5,784,480"
RK,NAME,TEAM,SALARY
131,"Anderson Varejao, C",Cleveland Cavaliers,"$5,784,480"
132,"Speedy Claxton, PG",Atlanta Hawks,"$5,757,818"
133,"Tony Battie, C",Orlando Magic,"$5,746,000"
134,"Marvin Williams, F",Atlanta Hawks,"$5,636,142"
135,"Mikki Moore, C",Boston Celtics,"$5,632,200"
136,"Morris Peterson, SG",New Orleans Hornets,"$5,592,240"
137,"Chris Duhon, PG",New York Knicks,"$5,585,000"
138,"James Posey, SF",New Orleans Hornets,"$5,585,000"
139,"Beno Udrih, PG",Sacramento Kings,"$5,585,000"
140,"DeSagana Diop, C",Charlotte Bobcats,"$5,585,000"
RK,NAME,TEAM,SALARY
141,"Brendan Haywood, C",Washington Wizards,"$5,500,000"
142,"Jeff Foster, PF",Indiana Pacers,"$5,500,000"
143,"Mickael Pietrus, SF",Orlando Magic,"$5,300,000"
144,"Desmond Mason, SF",Oklahoma City Thunder,"$5,300,000"
145,"Andrea Bargnani, C",Toronto Raptors,"$5,176,440"
146,"Deron Williams, PG",Utah Jazz,"$5,069,449"
147,"Matt Carroll, SG",Dallas Mavericks,"$5,050,000"
148,"Greg Oden, C",Portland Trail Blazers,"$5,011,680"
149,"Raja Bell, SG",Charlotte Bobcats,"$5,000,000"
