Unnamed: 0,Player,2019/20,2019/20(*)
1.0,Stephen Curry,"$40,231,758","$47,922,728"
2.0,Russell Westbrook,"$38,506,482","$45,867,637"
2.0,Chris Paul,"$38,506,482","$45,867,637"
4.0,James Harden,"$38,199,000","$45,501,374"
4.0,John Wall,"$38,199,000","$45,501,374"
6.0,LeBron James,"$37,436,858","$44,593,536"
7.0,Kevin Durant,"$37,199,000","$44,310,208"
8.0,Blake Griffin,"$34,449,964","$41,035,648"
9.0,Kyle Lowry,"$33,296,296","$39,661,437"
10.0,Paul George,"$33,005,556","$39,315,117"
11.0,Kemba Walker,"$32,742,000","$39,001,178"
11.0,Klay Thompson,"$32,742,000","$39,001,178"
11.0,Kawhi Leonard,"$32,742,000","$39,001,178"
11.0,Jimmy Butler,"$32,742,000","$39,001,178"
11.0,Tobias Harris,"$32,742,000","$39,001,178"
16.0,Gordon Hayward,"$32,700,690","$38,951,971"
17.0,Mike Conley,"$32,511,623","$38,726,761"
18.0,Kyrie Irving,"$31,742,000","$37,810,011"
19.0,Khris Middleton,"$30,603,448","$36,453,806"
20.0,Paul Millsap,"$30,350,000","$36,151,907"
21.0,Damian Lillard,"$29,802,321","$35,499,530"
22.0,Kevin Love,"$28,942,830","$34,475,733"
23.0,Nikola Vucevic,"$28,000,000","$33,352,666"
23.0,Al Horford,"$28,000,000","$33,352,666"
25.0,DeMar DeRozan,"$27,739,975","$33,042,933"
26.0,CJ McCollum,"$27,556,959","$32,824,930"
27.0,Nikola Jokic,"$27,504,630","$32,762,598"
27.0,Andrew Wiggins,"$27,504,630","$32,762,598"
27.0,Joel Embiid,"$27,504,630","$32,762,598"
30.0,Kristaps Porzingis,"$27,285,000","$32,500,982"
30.0,D'Angelo Russell,"$27,285,000","$32,500,982"
30.0,Karl-Anthony Towns,"$27,285,000","$32,500,982"
30.0,Devin Booker,"$27,285,000","$32,500,982"
34.0,Otto Porter,"$27,250,576","$32,459,977"
35.0,Anthony Davis,"$27,093,019","$32,272,300"
36.0,Andre Drummond,"$27,093,018","$32,272,299"
36.0,Hassan Whiteside,"$27,093,018","$32,272,299"
36.0,Bradley Beal,"$27,093,018","$32,272,299"
39.0,Jrue Holiday,"$26,131,111","$31,126,508"
40.0,LaMarcus Aldridge,"$26,000,000","$30,970,332"
41.0,Giannis Antetokounmpo,"$25,842,697","$30,782,958"
41.0,Steven Adams,"$25,842,697","$30,782,958"
43.0,Marc Gasol,"$25,595,700","$30,488,744"
44.0,Nicolas Batum,"$25,565,217","$30,452,433"
45.0,Rudy Gobert,"$25,258,427","$30,086,995"
46.0,Chandler Parsons,"$25,102,512","$29,901,275"
47.0,Harrison Barnes,"$24,147,727","$28,763,967"
48.0,Serge Ibaka,"$23,271,604","$27,720,358"
49.0,Danilo Gallinari,"$22,615,559","$26,938,899"
50.0,Victor Oladipo,"$21,000,000","$25,014,499"
51.0,Tim Hardaway Jr,"$20,025,127","$23,853,263"
52.0,Malcolm Brogdon,"$20,000,000","$23,823,333"
53.0,Terry Rozier,"$19,894,737","$23,697,947"
54.0,Aaron Gordon,"$19,863,636","$23,660,900"
55.0,Zach LaVine,"$19,500,000","$23,227,749"
56.0,Kent Bazemore,"$19,269,663","$22,953,379"
57.0,Goran Dragic,"$19,217,900","$22,891,721"
58.0,Jeff Teague,"$19,000,000","$22,632,166"
59.0,Evan Turner,"$18,606,556","$22,163,509"
60.0,Tristan Thompson,"$18,539,130","$22,083,193"
60.0,Draymond Green,"$18,539,130","$22,083,193"
62.0,Gary Harris,"$18,189,286","$21,666,470"
63.0,Myles Turner,"$18,000,000","$21,440,999"
63.0,Julius Randle,"$18,000,000","$21,440,999"
65.0,Derrick Favors,"$17,650,000","$21,024,091"
66.0,Andre Iguodala,"$17,185,185","$20,470,419"
67.0,Evan Fournier,"$17,150,000","$20,428,508"
68.0,Bismack Biyombo,"$17,000,000","$20,249,833"
68.0,Bojan Bogdanovic,"$17,000,000","$20,249,833"
70.0,Clint Capela,"$16,896,552","$20,126,609"
71.0,Gorgui Dieng,"$16,229,213","$19,331,697"
72.0,Ricky Rubio,"$16,200,000","$19,296,899"
73.0,Jonas Valanciunas,"$16,000,000","$19,058,666"
74.0,Brandon Knight,"$15,643,750","$18,634,313"
75.0,Eric Bledsoe,"$15,625,000","$18,611,978"
75.0,Kelly Oubre,"$15,625,000","$18,611,978"
77.0,Dennis Schroeder,"$15,500,000","$18,463,083"
78.0,Ian Mahinmi,"$15,450,051","$18,403,585"
79.0,James Johnson,"$15,349,400","$18,283,693"
80.0,Marcus Morris,"$15,000,000","$17,867,499"
80.0,Bobby Portis,"$15,000,000","$17,867,499"
82.0,Danny Green,"$14,634,147","$17,431,707"
83.0,Rudy Gay,"$14,500,000","$17,271,916"
84.0,Cody Zeller,"$14,471,910","$17,238,456"
85.0,Eric Gordon,"$14,057,730","$16,745,099"
86.0,Mason Plumlee,"$14,041,096","$16,725,285"
87.0,JJ Redick,"$13,486,300","$16,064,430"
88.0,Jordan Clarkson,"$13,437,500","$16,006,301"
89.0,Dewayne Dedmon,"$13,333,334","$15,882,222"
90.0,Solomon Hill,"$13,290,395","$15,831,075"
91.0,Justise Winslow,"$13,000,000","$15,485,166"
92.0,Thaddeus Young,"$12,900,000","$15,366,049"
93.0,Will Barton,"$12,776,786","$15,219,281"
94.0,Courtney Lee,"$12,759,670","$15,198,893"
95.0,Larry Nance Jr,"$12,727,273","$15,160,303"
96.0,Patrick Mills,"$12,678,571","$15,102,290"
97.0,Kelly Olynyk,"$12,667,885","$15,089,562"
98.0,Marcus Smart,"$12,553,571","$14,953,395"
99.0,Terrence Ross,"$12,500,000","$14,889,583"
100.0,Patrick Beverley,"$12,345,680","$14,705,762"
101.0,Trevor Ariza,"$12,200,000","$14,532,233"
102.0,Brook Lopez,"$12,093,024","$14,404,806"
103.0,Jusuf Nurkic,"$12,000,000","$14,293,999"
103.0,Cory Joseph,"$12,000,000","$14,293,999"
105.0,Joe Ingles,"$11,454,546","$13,644,273"
106.0,Tony Snell,"$11,392,857","$13,570,791"
107.0,Robert Covington,"$11,301,219","$13,461,635"
108.0,Meyers Leonard,"$11,286,515","$13,444,120"
109.0,TJ Warren,"$11,060,000","$13,174,303"
110.0,Moe Harkless,"$11,011,234","$13,116,214"
111.0,Andre Roberson,"$10,740,740","$12,794,011"
112.0,Spencer Dinwiddie,"$10,605,600","$12,633,037"
113.0,Jeremy Lamb,"$10,500,000","$12,507,249"
114.0,Dwight Powell,"$10,259,375","$12,220,625"
115.0,George Hill,"$10,133,907","$12,071,172"
116.0,Josh Richardson,"$10,116,576","$12,050,527"
116.0,Norman Powell,"$10,116,576","$12,050,527"
118.0,Tyus Jones,"$10,116,000","$12,049,841"
119.0,Tomas Satoransky,"$10,000,000","$11,911,666"
120.0,DeAndre Jordan,"$9,881,598","$11,770,630"
121.0,Zion Williamson,"$9,757,440","$11,622,737"
122.0,Markelle Fultz,"$9,745,200","$11,608,157"
123.0,John Henson,"$9,732,396","$11,592,905"
124.0,Matthew Dellavedova,"$9,607,500","$11,444,133"
125.0,Dante Exum,"$9,600,000","$11,435,199"
126.0,Deandre Ayton,"$9,562,920","$11,391,031"
127.0,Delon Wright,"$9,473,684","$11,284,736"
128.0,Jerami Grant,"$9,346,153","$11,132,825"
128.0,Fred VanVleet,"$9,346,153","$11,132,825"
130.0,Al-Farouq Aminu,"$9,258,000","$11,027,820"
131.0,Kyle Anderson,"$9,073,050","$10,807,514"
132.0,Taj Gibson,"$9,000,000","$10,720,499"
133.0,Ja Morant,"$8,730,240","$10,399,170"
134.0,Lonzo Ball,"$8,719,320","$10,386,163"
135.0,E'Twaun Moore,"$8,664,928","$10,321,373"
136.0,Marvin Bagley,"$8,556,120","$10,191,764"
137.0,Bogdan Bogdanovic,"$8,529,386","$10,159,920"
138.0,PJ Tucker,"$8,349,039","$9,945,096"
139.0,Cristiano Felicio,"$8,156,500","$9,715,750"
140.0,Kentavious Caldwell-Pope,"$8,139,282","$9,695,241"
141.0,Ben Simmons,"$8,113,929","$9,665,041"
142.0,Maxi Kleber,"$8,000,000","$9,529,333"
142.0,Louis Williams,"$8,000,000","$9,529,333"
142.0,Elfrid Payton,"$8,000,000","$9,529,333"
142.0,Wayne Ellington,"$8,000,000","$9,529,333"
142.0,Thomas Bryant,"$8,000,000","$9,529,333"
147.0,RJ Barrett,"$7,839,960","$9,338,698"
148.0,Jayson Tatum,"$7,830,000","$9,326,834"
149.0,Jae Crowder,"$7,815,533","$9,309,602"
150.0,Luka Doncic,"$7,683,360","$9,152,162"
151.0,Joe Harris,"$7,666,667","$9,132,278"
152.0,Seth Curry,"$7,461,380","$8,887,747"
153.0,DeMarre Carroll,"$7,339,258","$8,742,279"
154.0,Langston Galloway,"$7,333,333","$8,735,221"
154.0,Doug McDermott,"$7,333,333","$8,735,221"
156.0,Derrick Rose,"$7,317,074","$8,715,854"
157.0,Brandon Ingram,"$7,265,485","$8,654,403"
158.0,Darius Miller,"$7,250,000","$8,635,958"
158.0,DJ Augustin,"$7,250,000","$8,635,958"
160.0,De'Andre Hunter,"$7,068,360","$8,419,594"
161.0,Josh Jackson,"$7,059,480","$8,409,017"
162.0,Ersan Ilyasova,"$7,000,000","$8,338,166"
162.0,Davis Bertans,"$7,000,000","$8,338,166"
164.0,Jaren Jackson Jr,"$6,927,480","$8,251,783"
165.0,Nemanja Bjelica,"$6,825,000","$8,129,712"
166.0,Jaylen Brown,"$6,534,829","$7,784,070"
167.0,Jabari Parker,"$6,500,000","$7,742,583"
168.0,Ivica Zubac,"$6,481,482","$7,720,525"
169.0,Darius Garland,"$6,400,920","$7,624,562"
170.0,De'Aaron Fox,"$6,392,760","$7,614,842"
171.0,Trae Young,"$6,273,000","$7,472,188"
172.0,Montrezl Harrell,"$6,000,000","$7,146,999"
172.0,Ishmael Smith,"$6,000,000","$7,146,999"
174.0,Marco Belinelli,"$5,846,154","$6,963,743"
175.0,Jarrett Culver,"$5,813,640","$6,925,014"
176.0,Jonathan Isaac,"$5,806,440","$6,916,437"
177.0,Rodney Hood,"$5,718,000","$6,811,090"
178.0,Mo Bamba,"$5,697,600","$6,786,791"
179.0,Trey Lyles,"$5,500,000","$6,551,416"
180.0,Aron Baynes,"$5,453,280","$6,495,765"
181.0,Kris Dunn,"$5,348,007","$6,370,367"
182.0,Coby White,"$5,307,120","$6,321,664"
183.0,Lauri Markkanen,"$5,300,400","$6,313,659"
184.0,Wendell Carter,"$5,201,400","$6,195,734"
185.0,Daniel Theis,"$5,000,000","$5,955,833"
185.0,Luol Deng,"$5,000,000","$5,955,833"
187.0,Jaxson Hayes,"$4,862,040","$5,791,499"
188.0,Buddy Hield,"$4,861,207","$5,790,507"
189.0,Frank Ntilikina,"$4,855,800","$5,784,067"
190.0,Rodney McGruder,"$4,807,693","$5,726,763"
191.0,Enes Kanter,"$4,767,000","$5,678,291"
191.0,Garrett Temple,"$4,767,000","$5,678,291"
191.0,Justin Holiday,"$4,767,000","$5,678,291"
191.0,JaMychal Green,"$4,767,000","$5,678,291"
191.0,Avery Bradley,"$4,767,000","$5,678,291"
