Unnamed: 0,Player,2011/12,2011/12(*)
1.0,Kobe Bryant,"$25,244,493","$34,123,045"
2.0,Vince Carter,"$21,300,000","$28,791,263"
3.0,Kevin Garnett,"$21,247,044","$28,719,683"
4.0,Tim Duncan,"$21,164,619","$28,608,269"
5.0,Rashard Lewis,"$21,136,631","$28,570,437"
6.0,Gilbert Arenas,"$19,269,307","$26,046,371"
7.0,Dirk Nowitzki,"$19,092,873","$25,807,884"
8.0,Pau Gasol,"$18,714,150","$25,295,964"
9.0,Carmelo Anthony,"$18,518,574","$25,031,603"
10.0,Amare Stoudemire,"$18,217,705","$24,624,918"
11.0,Dwight Howard,"$18,091,770","$24,454,691"
12.0,Joe Johnson,"$18,038,573","$24,382,784"
13.0,Richard Hamilton,"$17,500,000","$23,654,793"
14.0,Elton Brand,"$17,059,727","$23,059,676"
15.0,Deron Williams,"$16,359,805","$22,113,589"
15.0,Chris Paul,"$16,359,805","$22,113,589"
17.0,Brandon Roy,"$16,032,144","$21,670,689"
18.0,LeBron James,"$16,022,500","$21,657,653"
18.0,Chris Bosh,"$16,022,500","$21,657,653"
20.0,Dwyane Wade,"$15,691,000","$21,209,564"
21.0,Kevin Durant,"$15,506,632","$20,960,353"
22.0,Paul Pierce,"$15,333,334","$20,726,106"
23.0,Baron Davis,"$15,252,181","$20,616,411"
24.0,Zach Randolph,"$15,200,000","$20,545,878"
25.0,Antawn Jamison,"$15,076,715","$20,379,233"
26.0,Rudy Gay,"$15,032,144","$20,318,987"
27.0,Andrew Bynum,"$14,900,000","$20,140,367"
28.0,Chauncey Billups,"$14,200,000","$19,194,175"
29.0,Chris Kaman,"$14,030,000","$18,964,386"
30.0,Al Jefferson,"$14,000,000","$18,923,835"
31.0,Andre Iguodala,"$13,531,750","$18,290,900"
32.0,Carlos Boozer,"$13,500,000","$18,247,984"
33.0,Tyson Chandler,"$13,107,837","$17,717,896"
34.0,Nenê,"$13,000,000","$17,572,132"
35.0,Manu Ginobili,"$12,981,038","$17,546,501"
36.0,Marc Gasol,"$12,922,194","$17,466,962"
37.0,Emeka Okafor,"$12,541,812","$16,952,799"
38.0,Tony Parker,"$12,500,000","$16,896,281"
39.0,Josh Smith,"$12,400,000","$16,761,111"
40.0,LaMarcus Aldridge,"$12,372,000","$16,723,263"
41.0,Luol Deng,"$12,325,000","$16,659,733"
42.0,Danny Granger,"$12,015,904","$16,241,927"
43.0,Al Horford,"$12,000,000","$16,220,430"
43.0,Joakim Noah,"$12,000,000","$16,220,430"
43.0,Andrew Bogut,"$12,000,000","$16,220,430"
46.0,Steve Nash,"$11,689,062","$15,800,134"
47.0,David Lee,"$11,610,000","$15,693,266"
48.0,Ben Gordon,"$11,600,000","$15,679,749"
49.0,Kevin Martin,"$11,519,840","$15,571,396"
50.0,Marcus Camby,"$11,227,250","$15,175,902"
51.0,Jason Terry,"$11,158,000","$15,082,296"
52.0,Hidayet Turkoglu,"$11,015,850","$14,890,152"
53.0,Monta Ellis,"$11,000,000","$14,868,727"
54.0,Mehmet Okur,"$10,890,000","$14,720,040"
55.0,Corey Maggette,"$10,262,069","$13,871,264"
56.0,Jason Kidd,"$10,121,000","$13,680,581"
57.0,DeAndre Jordan,"$10,079,404","$13,624,355"
58.0,Rajon Rondo,"$10,045,455","$13,578,467"
59.0,Ray Allen,"$10,000,000","$13,517,025"
59.0,David West,"$10,000,000","$13,517,025"
61.0,Jose Calderon,"$9,780,992","$13,220,991"
62.0,Gerald Wallace,"$9,500,000","$12,841,174"
63.0,Devin Harris,"$9,319,000","$12,596,515"
64.0,Richard Jefferson,"$9,282,000","$12,546,502"
65.0,Stephen Jackson,"$9,256,500","$12,512,034"
66.0,Andrea Bargnani,"$9,250,000","$12,503,248"
67.0,Boris Diaw,"$9,000,000","$12,165,322"
67.0,Andris Biedrins,"$9,000,000","$12,165,322"
69.0,Lamar Odom,"$8,900,000","$12,030,152"
70.0,Luis Scola,"$8,591,793","$11,613,548"
71.0,Rodney Stuckey,"$8,500,000","$11,489,471"
71.0,Maurice Williams,"$8,500,000","$11,489,471"
71.0,Carl Landry,"$8,500,000","$11,489,471"
71.0,John Salmons,"$8,500,000","$11,489,471"
75.0,Paul Millsap,"$8,103,435","$10,953,433"
76.0,Kirk Hinrich,"$8,100,000","$10,948,790"
77.0,Shawn Marion,"$8,022,449","$10,843,964"
78.0,Kris Humphries,"$8,000,000","$10,813,620"
78.0,Caron Butler,"$8,000,000","$10,813,620"
80.0,Andre Miller,"$7,807,728","$10,553,725"
81.0,Jameer Nelson,"$7,800,000","$10,543,279"
82.0,Anderson Varejao,"$7,700,000","$10,408,109"
83.0,Brendan Haywood,"$7,624,500","$10,306,055"
84.0,Leandro Barbosa,"$7,600,000","$10,272,939"
85.0,James Posey,"$7,595,600","$10,266,991"
86.0,Arron Afflalo,"$7,562,500","$10,222,250"
87.0,Raymond Felton,"$7,560,000","$10,218,871"
88.0,Charlie Villanueva,"$7,540,000","$10,191,837"
89.0,Marvin Williams,"$7,500,000","$10,137,769"
90.0,Thaddeus Young,"$7,478,261","$10,108,384"
91.0,Tyrus Thomas,"$7,305,765","$9,875,221"
92.0,Kendrick Perkins,"$7,123,626","$9,629,023"
93.0,Travis Outlaw,"$7,000,000","$9,461,917"
93.0,Samuel Dalembert,"$7,000,000","$9,461,917"
93.0,Marcus Thornton,"$7,000,000","$9,461,917"
96.0,Derrick Rose,"$6,993,708","$9,453,412"
97.0,DeSagana Diop,"$6,925,400","$9,361,080"
97.0,Beno Udrih,"$6,925,400","$9,361,080"
99.0,Metta World Peace,"$6,790,640","$9,178,925"
99.0,Trevor Ariza,"$6,790,640","$9,178,925"
99.0,Marcin Gortat,"$6,790,640","$9,178,925"
102.0,Kwame Brown,"$6,750,000","$9,123,992"
102.0,JJ Redick,"$6,750,000","$9,123,992"
104.0,Andres Nocioni,"$6,650,000","$8,988,821"
105.0,Mike Conley,"$6,611,571","$8,936,877"
106.0,Mickael Pietrus,"$6,523,166","$8,817,379"
107.0,Grant Hill,"$6,500,000","$8,786,066"
108.0,Andray Blatche,"$6,442,083","$8,707,779"
109.0,Glen Davis,"$6,300,000","$8,515,725"
110.0,Tayshaun Prince,"$6,292,135","$8,505,094"
111.0,Michael Beasley,"$6,262,347","$8,464,830"
112.0,Jermaine O'Neal,"$6,226,200","$8,415,970"
112.0,Al Harrington,"$6,226,200","$8,415,970"
112.0,Drew Gooden,"$6,226,200","$8,415,970"
115.0,Wesley Matthews,"$6,135,160","$8,292,911"
116.0,Josh Childress,"$6,000,000","$8,110,215"
117.0,Francisco Garcia,"$5,800,000","$7,839,874"
118.0,Kyle Lowry,"$5,750,000","$7,772,289"
119.0,Blake Griffin,"$5,731,080","$7,746,715"
120.0,Luke Walton,"$5,680,000","$7,677,670"
121.0,OJ Mayo,"$5,632,637","$7,613,649"
122.0,Channing Frye,"$5,600,000","$7,569,534"
123.0,John Wall,"$5,530,080","$7,475,023"
124.0,Amir Johnson,"$5,500,000","$7,434,363"
125.0,Nate Robinson,"$5,483,307","$7,411,799"
126.0,Mike Miller,"$5,400,000","$7,299,193"
127.0,Jason Richardson,"$5,395,000","$7,292,435"
128.0,Martell Webster,"$5,256,000","$7,104,548"
129.0,Chuck Hayes,"$5,250,000","$7,096,438"
130.0,Louis Williams,"$5,176,000","$6,996,412"
131.0,Kyrie Irving,"$5,144,280","$6,953,536"
132.0,Hasheem Thabeet,"$5,127,720","$6,931,152"
133.0,Russell Westbrook,"$5,082,416","$6,869,914"
134.0,Kyle Korver,"$5,000,000","$6,758,512"
134.0,Jason Maxiell,"$5,000,000","$6,758,512"
134.0,Luc Mbah a Moute,"$5,000,000","$6,758,512"
134.0,Jarrett Jack,"$5,000,000","$6,758,512"
134.0,Jamal Crawford,"$5,000,000","$6,758,512"
139.0,Evan Turner,"$4,947,840","$6,688,007"
140.0,Darko Milicic,"$4,776,500","$6,456,407"
141.0,Brad Miller,"$4,752,000","$6,423,290"
142.0,Zaza Pachulia,"$4,750,000","$6,420,587"
143.0,Ronnie Brewer,"$4,710,000","$6,366,518"
144.0,Kevin Love,"$4,609,701","$6,230,944"
145.0,Linas Kleiza,"$4,605,000","$6,224,590"
146.0,James Harden,"$4,604,760","$6,224,265"
147.0,Derrick Williams,"$4,602,720","$6,221,508"
148.0,Nikola Pekovic,"$4,503,600","$6,087,527"
149.0,Jonas Jerebko,"$4,500,000","$6,082,661"
150.0,Derrick Favors,"$4,443,360","$6,006,100"
151.0,Daniel Gibson,"$4,403,834","$5,952,673"
152.0,Ronny Turiaf,"$4,360,000","$5,893,423"
153.0,Jose Juan Barea,"$4,300,000","$5,812,320"
154.0,Ramon Sessions,"$4,257,973","$5,755,512"
155.0,Brandon Bass,"$4,250,000","$5,744,735"
155.0,Randy Foye,"$4,250,000","$5,744,735"
155.0,Jared Dudley,"$4,250,000","$5,744,735"
158.0,Chris Andersen,"$4,234,000","$5,723,108"
159.0,Danilo Gallinari,"$4,190,182","$5,663,879"
160.0,Tyreke Evans,"$4,151,640","$5,611,782"
161.0,Enes Kanter,"$4,133,280","$5,586,965"
162.0,Charlie Bell,"$4,099,920","$5,541,872"
163.0,Spencer Hawes,"$4,051,024","$5,475,779"
164.0,Wesley Johnson,"$4,006,080","$5,415,028"
165.0,Jordan Farmar,"$4,000,000","$5,406,810"
165.0,Anthony Morrow,"$4,000,000","$5,406,810"
165.0,Ryan Gomes,"$4,000,000","$5,406,810"
165.0,Steve Blake,"$4,000,000","$5,406,810"
165.0,Mario Chalmers,"$4,000,000","$5,406,810"
165.0,Hakim Warrick,"$4,000,000","$5,406,810"
171.0,Matt Carroll,"$3,900,000","$5,271,639"
172.0,Eric Gordon,"$3,831,184","$5,178,621"
173.0,Dorell Wright,"$3,823,000","$5,167,558"
174.0,Udonis Haslem,"$3,780,000","$5,109,435"
175.0,Mike Dunleavy,"$3,750,000","$5,068,884"
175.0,Nazr Mohammed,"$3,750,000","$5,068,884"
177.0,Tristan Thompson,"$3,726,600","$5,037,254"
178.0,CJ Miles,"$3,700,000","$5,001,299"
179.0,Nick Young,"$3,695,857","$4,995,699"
180.0,Luke Ridnour,"$3,680,000","$4,974,265"
181.0,Tiago Splitter,"$3,672,000","$4,963,451"
182.0,DeMarcus Cousins,"$3,627,720","$4,903,598"
183.0,Joel Anthony,"$3,600,000","$4,866,129"
