0,1,2,3
RK,NAME,TEAM,SALARY
1,"Stephen Curry, PG",Golden State Warriors,"$37,457,154"
2,"Blake Griffin, PF",Detroit Pistons,"$32,088,932"
3,"Paul Millsap, PF",Denver Nuggets,"$31,269,231"
4,"Kyle Lowry, PG",Toronto Raptors,"$31,200,000"
5,"Gordon Hayward, SF",Boston Celtics,"$29,727,900"
6,"Mike Conley, PG",Memphis Grizzlies,"$28,530,608"
7,"Russell Westbrook, PG",Oklahoma City Thunder,"$28,530,608"
8,"James Harden, SG",Houston Rockets,"$28,299,399"
9,"DeMar DeRozan, SF",Toronto Raptors,"$27,739,975"
10,"Al Horford, C",Boston Celtics,"$27,734,406"
RK,NAME,TEAM,SALARY
11,"Carmelo Anthony, PF",Oklahoma City Thunder,"$26,243,760"
12,"Damian Lillard, PG",Portland Trail Blazers,"$26,153,057"
13,"Otto Porter Jr., SF",Washington Wizards,"$26,011,913"
14,"Jrue Holiday, PG",New Orleans Pelicans,"$25,686,667"
15,"Bradley Beal, SG",Washington Wizards,"$25,434,263"
16,"Andre Drummond, C",Detroit Pistons,"$25,434,263"
17,"Hassan Whiteside, C",Miami Heat,"$25,434,262"
18,"Joel Embiid, C",Philadelphia 76ers,"$25,250,000"
19,"Chris Paul, PG",Houston Rockets,"$24,599,495"
20,"Giannis Antetokounmpo, PF",Milwaukee Bucks,"$24,157,303"
RK,NAME,TEAM,SALARY
21,"Kevin Love, PF",Cleveland Cavaliers,"$24,119,025"
22,"Nicolas Batum, PF",Charlotte Hornets,"$24,000,000"
23,"CJ McCollum, SG",Portland Trail Blazers,"$23,962,573"
24,"Dwight Howard, C",Charlotte Hornets,"$23,819,725"
25,"Anthony Davis, PF",New Orleans Pelicans,"$23,775,506"
26,"Harrison Barnes, SF",Dallas Mavericks,"$23,112,004"
27,"Chandler Parsons, SF",Memphis Grizzlies,"$23,112,004"
28,"Brook Lopez, C",Los Angeles Lakers,"$22,642,650"
29,"Marc Gasol, C",Memphis Grizzlies,"$22,642,350"
30,"DeAndre Jordan, C",LA Clippers,"$22,642,350"
RK,NAME,TEAM,SALARY
31,"Steven Adams, C",Oklahoma City Thunder,"$22,471,910"
32,"Rudy Gobert, C",Utah Jazz,"$21,924,719"
33,"Serge Ibaka, F",Toronto Raptors,"$21,666,667"
34,"LaMarcus Aldridge, C",San Antonio Spurs,"$21,461,010"
35,"Victor Oladipo, SG",Indiana Pacers,"$21,000,000"
36,"Danilo Gallinari, PF",LA Clippers,"$20,559,599"
37,"Ryan Anderson, PF",Houston Rockets,"$19,578,455"
38,"Paul George, F",Oklahoma City Thunder,"$19,508,958"
39,"Jimmy Butler, SF",Minnesota Timberwolves,"$19,301,070"
40,"Tyler Johnson, G",Miami Heat,"$19,245,370"
RK,NAME,TEAM,SALARY
41,"John Wall, PG",Washington Wizards,"$19,169,800"
42,"Jeff Teague, PG",Minnesota Timberwolves,"$19,000,000"
43,"George Hill, PG",Cleveland Cavaliers,"$19,000,000"
44,"Kawhi Leonard, SF",San Antonio Spurs,"$18,868,626"
45,"Kyrie Irving, PG",Boston Celtics,"$18,868,626"
46,"Enes Freedom, C",New York Knicks,"$18,622,514"
