0,1,2,3
RK,NAME,TEAM,SALARY
1,"Stephen Curry, PG",Golden State Warriors,"$40,231,758"
2,"Russell Westbrook, PG",Houston Rockets,"$38,506,482"
3,"Chris Paul, PG",Oklahoma City Thunder,"$38,506,482"
4,"Kevin Durant, PF",Phoenix Suns,"$38,199,000"
5,"James Harden, SG",Houston Rockets,"$38,199,000"
6,"John Wall, PG",Houston Rockets,"$38,199,000"
7,"LeBron James, SF",Los Angeles Lakers,"$37,436,858"
8,"Kyle Lowry, PG",Toronto Raptors,"$34,996,296"
9,"Blake Griffin, PF",Detroit Pistons,"$34,449,964"
10,"Tobias Harris, PF",Philadelphia 76ers,"$32,742,000"
RK,NAME,TEAM,SALARY
11,"Jimmy Butler, SF",Miami Heat,"$32,742,000"
12,"Kawhi Leonard, SF",LA Clippers,"$32,742,000"
13,"Klay Thompson, SG",Golden State Warriors,"$32,742,000"
14,"Kemba Walker, PG",Boston Celtics,"$32,742,000"
15,"Gordon Hayward, SF",Boston Celtics,"$32,700,690"
16,"Mike Conley, PG",Utah Jazz,"$32,511,624"
17,"Kyrie Irving, PG",Brooklyn Nets,"$31,742,000"
18,"Khris Middleton, SF",Milwaukee Bucks,"$30,603,448"
19,"Paul George, F",LA Clippers,"$30,560,700"
20,"Paul Millsap, PF",Denver Nuggets,"$30,350,000"
RK,NAME,TEAM,SALARY
21,"Damian Lillard, PG",Portland Trail Blazers,"$29,802,321"
22,"Kevin Love, PF",Cleveland Cavaliers,"$28,942,830"
23,"Nikola Vucevic, C",Orlando Magic,"$28,000,000"
24,"Al Horford, C",Philadelphia 76ers,"$28,000,000"
25,"DeMar DeRozan, SF",San Antonio Spurs,"$27,739,975"
26,"CJ McCollum, SG",Portland Trail Blazers,"$27,556,959"
27,"Joel Embiid, C",Philadelphia 76ers,"$27,504,630"
28,"Andrew Wiggins, SF",Golden State Warriors,"$27,504,630"
29,"Nikola Jokic, C",Denver Nuggets,"$27,504,630"
30,"Devin Booker, SG",Phoenix Suns,"$27,285,000"
RK,NAME,TEAM,SALARY
31,"Karl-Anthony Towns, C",Minnesota Timberwolves,"$27,285,000"
32,"D'Angelo Russell, PG",Minnesota Timberwolves,"$27,285,000"
33,"Kristaps Porzingis, C",Dallas Mavericks,"$27,285,000"
34,"Otto Porter Jr., SF",Chicago Bulls,"$27,250,575"
35,"Bradley Beal, SG",Washington Wizards,"$27,093,019"
36,"Andre Drummond, C",Cleveland Cavaliers,"$27,093,019"
37,"Anthony Davis, PF",Los Angeles Lakers,"$27,093,018"
38,"Hassan Whiteside, C",Portland Trail Blazers,"$27,093,017"
39,"Jrue Holiday, PG",New Orleans Pelicans,"$26,231,111"
40,"LaMarcus Aldridge, C",San Antonio Spurs,"$26,000,000"
RK,NAME,TEAM,SALARY
41,"Steven Adams, C",Oklahoma City Thunder,"$25,842,697"
42,"Giannis Antetokounmpo, PF",Milwaukee Bucks,"$25,842,697"
43,"Marc Gasol, C",Toronto Raptors,"$25,595,700"
44,"Nicolas Batum, PF",Charlotte Hornets,"$25,565,217"
45,"Chandler Parsons, SF",Atlanta Hawks,"$25,102,511"
46,"Harrison Barnes, SF",Sacramento Kings,"$24,147,727"
47,"Serge Ibaka, F",Toronto Raptors,"$23,271,604"
48,"Rudy Gobert, C",Utah Jazz,"$23,241,573"
49,"Danilo Gallinari, PF",Oklahoma City Thunder,"$22,615,559"
50,"Victor Oladipo, SG",Indiana Pacers,"$21,000,000"
RK,NAME,TEAM,SALARY
51,"Tim Hardaway Jr., SF",Dallas Mavericks,"$20,025,127"
52,"Malcolm Brogdon, PG",Indiana Pacers,"$20,000,000"
53,"Terry Rozier, SG",Charlotte Hornets,"$19,894,737"
54,"Aaron Gordon, PF",Orlando Magic,"$19,863,636"
55,"Zach LaVine, SG",Chicago Bulls,"$19,500,000"
56,"Kent Bazemore, SF",Sacramento Kings,"$19,269,662"
57,"Goran Dragic, PG",Miami Heat,"$19,217,900"
58,"Jeff Teague, PG",Atlanta Hawks,"$19,000,000"
59,"Evan Turner, G",Atlanta Hawks,"$18,606,556"
60,"Draymond Green, PF",Golden State Warriors,"$18,539,130"
RK,NAME,TEAM,SALARY
61,"Tristan Thompson, C",Cleveland Cavaliers,"$18,539,130"
62,"Allen Crabbe, G",Minnesota Timberwolves,"$18,500,000"
63,"Julius Randle, PF",New York Knicks,"$18,000,000"
64,"Myles Turner, C",Indiana Pacers,"$18,000,000"
65,"Gary Harris, SG",Denver Nuggets,"$17,839,286"
66,"Derrick Favors, F",New Orleans Pelicans,"$17,650,000"
67,"Andre Iguodala, F",Miami Heat,"$17,185,185"
68,"Evan Fournier, SG",Orlando Magic,"$17,150,000"
69,"Bismack Biyombo, C",Charlotte Hornets,"$17,000,000"
70,"Bojan Bogdanovic, SF",Utah Jazz,"$17,000,000"
RK,NAME,TEAM,SALARY
71,"Timofey Mozgov, C",Orlando Magic,"$16,720,000"
72,"Gorgui Dieng, C",Memphis Grizzlies,"$16,229,213"
73,"Ricky Rubio, PG",Phoenix Suns,"$16,200,000"
74,"Jonas Valanciunas, C",Memphis Grizzlies,"$16,000,000"
75,"Brandon Knight, PG",Detroit Pistons,"$15,643,750"
76,"Eric Bledsoe, SG",Milwaukee Bucks,"$15,625,000"
77,"Kelly Oubre Jr., SG",Phoenix Suns,"$15,625,000"
78,"Dennis Schroder, PG",Oklahoma City Thunder,"$15,500,000"
79,"Ian Mahinmi, C",Washington Wizards,"$15,450,051"
80,"James Johnson, PF",Minnesota Timberwolves,"$15,349,400"
RK,NAME,TEAM,SALARY
81,"Marcus Morris Sr., SF",LA Clippers,"$15,000,000"
82,"Bobby Portis, F",New York Knicks,"$15,000,000"
83,"Clint Capela, C",Houston Rockets,"$14,896,552"
84,"Luke Babbitt, F",Miami Heat,"$14,651,700"
85,"Danny Green, F",Los Angeles Lakers,"$14,634,146"
86,"Rudy Gay, SF",San Antonio Spurs,"$14,500,000"
87,"Cody Zeller, C",Charlotte Hornets,"$14,471,910"
88,"Eric Gordon, SG",Houston Rockets,"$14,057,730"
89,"Mason Plumlee, C",Denver Nuggets,"$14,041,096"
90,"Marcin Gortat, C",LA Clippers,"$13,565,218"
RK,NAME,TEAM,SALARY
91,"JJ Redick, SG",New Orleans Pelicans,"$13,486,300"
92,"Jordan Clarkson, PG",Utah Jazz,"$13,437,500"
93,"Dewayne Dedmon, C",Atlanta Hawks,"$13,333,333"
94,"Jusuf Nurkic, C",Portland Trail Blazers,"$13,125,000"
95,"Justise Winslow, PF",Miami Heat,"$13,000,000"
96,"Thaddeus Young, PF",Chicago Bulls,"$12,900,000"
97,"Will Barton, G",Denver Nuggets,"$12,776,786"
98,"Courtney Lee, G",Dallas Mavericks,"$12,759,670"
99,"Solomon Hill, SF",Miami Heat,"$12,758,781"
100,"Larry Nance Jr., PF",Cleveland Cavaliers,"$12,727,273"
RK,NAME,TEAM,SALARY
101,"Kelly Olynyk, PF",Miami Heat,"$12,667,885"
102,"Marcus Smart, PG",Boston Celtics,"$12,553,571"
103,"Miles Plumlee, C",Memphis Grizzlies,"$12,500,000"
104,"Terrence Ross, G",Orlando Magic,"$12,500,000"
105,"Nikola Mirotic, F",Milwaukee Bucks,"$12,500,000"
106,"Patty Mills, PG",San Antonio Spurs,"$12,428,571"
107,"Tyreke Evans, G",Indiana Pacers,"$12,400,000"
108,"Patrick Beverley, PG",LA Clippers,"$12,345,680"
109,"Trevor Ariza, SF",Portland Trail Blazers,"$12,195,122"
110,"Brook Lopez, C",Milwaukee Bucks,"$12,093,023"
RK,NAME,TEAM,SALARY
111,"Cory Joseph, PG",Sacramento Kings,"$12,000,000"
112,"Joe Ingles, SG",Utah Jazz,"$11,954,546"
113,"Zach Randolph, F",Dallas Mavericks,"$11,692,308"
114,"Tony Snell, SF",Detroit Pistons,"$11,392,857"
115,"Robert Covington, PF",Houston Rockets,"$11,301,219"
116,"Meyers Leonard, C",Miami Heat,"$11,286,516"
117,"Omer Asik, C",Chicago Bulls,"$11,286,516"
118,"Maurice Harkless, SF",New York Knicks,"$11,011,234"
119,"T.J. Warren, SF",Indiana Pacers,"$10,810,000"
120,"Andre Roberson, F",Oklahoma City Thunder,"$10,740,740"
RK,NAME,TEAM,SALARY
121,"Spencer Dinwiddie, PG",Brooklyn Nets,"$10,605,600"
122,"Jeremy Lamb, SG",Indiana Pacers,"$10,500,000"
123,"Dwight Powell, C",Dallas Mavericks,"$10,259,375"
124,"Josh Richardson, SG",Philadelphia 76ers,"$10,116,576"
125,"Norman Powell, G",Toronto Raptors,"$10,116,576"
126,"Tomas Satoransky, SG",Chicago Bulls,"$10,000,000"
127,"Darren Collison, PG",Los Angeles Lakers,"$10,000,000"
128,"DeAndre Jordan, C",Brooklyn Nets,"$9,881,598"
129,"Zion Williamson, PF",New Orleans Pelicans,"$9,757,440"
130,"Markelle Fultz, PG",Orlando Magic,"$9,745,200"
RK,NAME,TEAM,SALARY
131,"John Henson, F",Detroit Pistons,"$9,732,396"
132,"Matthew Dellavedova, PG",Cleveland Cavaliers,"$9,607,500"
133,"Dante Exum, G",Cleveland Cavaliers,"$9,600,000"
