0,1,2,3
RK,NAME,TEAM,SALARY
1,"Kevin Garnett, PF",Boston Celtics,"$23,751,934"
2,"Shaquille O'Neal, C",Phoenix Suns,"$21,000,000"
3,"Jason Kidd, PG",Dallas Mavericks,"$19,728,000"
4,"Jermaine O'Neal, C",Indiana Pacers,"$19,728,000"
5,"Kobe Bryant, SF",Los Angeles Lakers,"$19,490,625"
6,"Tim Duncan, C",San Antonio Spurs,"$19,014,188"
7,"Allen Iverson, SG",Denver Nuggets,"$19,012,500"
8,"Stephon Marbury, PG",New York Knicks,"$19,012,500"
9,"Tracy McGrady, SG",Houston Rockets,"$18,257,750"
10,"Baron Davis, PG",Golden State Warriors,"$16,440,000"
RK,NAME,TEAM,SALARY
11,"Shawn Marion, SG",Miami Heat,"$16,440,000"
12,"Paul Pierce, SF",Boston Celtics,"$16,360,094"
13,"Dirk Nowitzki, F",Dallas Mavericks,"$16,360,094"
14,"Antawn Jamison, PF",Washington Wizards,"$16,360,094"
15,"Ray Allen, SG",Boston Celtics,"$16,000,000"
16,"Ben Wallace, PF",Cleveland Cavaliers,"$15,500,000"
17,"Elton Brand, PF",LA Clippers,"$15,344,000"
18,"Mike Bibby, PG",Atlanta Hawks,"$14,983,603"
19,"Rashard Lewis, PF",Orlando Magic,"$14,884,951"
20,"Michael Redd, SG",Milwaukee Bucks,"$14,520,000"
RK,NAME,TEAM,SALARY
21,"Amar'e Stoudemire, C",Phoenix Suns,"$13,762,775"
22,"Yao Ming, C",Houston Rockets,"$13,762,775"
23,"Pau Gasol, PF",Los Angeles Lakers,"$13,735,000"
24,"Andrei Kirilenko, SF",Utah Jazz,"$13,735,000"
25,"Joe Johnson, G",Atlanta Hawks,"$13,488,378"
26,"Zach Randolph, F",New York Knicks,"$13,333,333"
27,"Vince Carter, G",New Jersey Nets,"$13,325,000"
28,"Kenyon Martin, PF",Denver Nuggets,"$13,250,000"
29,"Lamar Odom, PF",Los Angeles Lakers,"$13,248,596"
30,"Dwyane Wade, G",Miami Heat,"$13,041,250"
RK,NAME,TEAM,SALARY
31,"Chris Bosh, PF",Toronto Raptors,"$13,041,250"
32,"Carmelo Anthony, PF",Denver Nuggets,"$13,041,250"
33,"LeBron James, SF",Cleveland Cavaliers,"$13,041,250"
34,"Rasheed Wallace, PF",Detroit Pistons,"$12,540,000"
35,"Raef LaFrentz, C",Portland Trail Blazers,"$12,440,787"
36,"Wally Szczerbiak, SG",Cleveland Cavaliers,"$12,275,000"
37,"Richard Jefferson, F",New Jersey Nets,"$12,200,000"
38,"Larry Hughes, SG",Chicago Bulls,"$12,000,084"
39,"Gilbert Arenas, PG",Washington Wizards,"$11,950,400"
40,"Peja Stojakovic, SF",New Orleans Hornets,"$11,664,000"
RK,NAME,TEAM,SALARY
41,"Carlos Boozer, PF",Utah Jazz,"$11,593,816"
42,"Steve Nash, PG",Phoenix Suns,"$11,375,000"
43,"Kirk Hinrich, SG",Chicago Bulls,"$11,250,000"
44,"Jason Richardson, SG",Charlotte Bobcats,"$11,111,110"
45,"David West, F",New Orleans Hornets,"$10,650,000"
46,"Erick Dampier, C",Dallas Mavericks,"$10,590,500"
47,"Tony Parker, G",San Antonio Spurs,"$10,500,000"
48,"Brad Miller, C",Sacramento Kings,"$10,500,000"
49,"Tyson Chandler, C",New Orleans Hornets,"$10,500,000"
50,"Samuel Dalembert, C",Philadelphia 76ers,"$10,251,435"
RK,NAME,TEAM,SALARY
51,"Zydrunas Ilgauskas, C",Cleveland Cavaliers,"$10,142,156"
52,"Marcus Camby, C",Denver Nuggets,"$10,000,000"
53,"Chauncey Billups, PG",Detroit Pistons,"$10,000,000"
54,"Richard Hamilton, SG",Detroit Pistons,"$10,000,000"
55,"Andre Miller, PG",Philadelphia 76ers,"$9,600,000"
56,"Josh Howard, SF",Dallas Mavericks,"$9,500,000"
57,"Gerald Wallace, SF",Charlotte Bobcats,"$9,500,000"
58,"Kwame Brown, C",Memphis Grizzlies,"$9,379,279"
59,"Bobby Simmons, SF",Milwaukee Bucks,"$9,280,000"
60,"Troy Murphy, PF",Indiana Pacers,"$9,206,349"
RK,NAME,TEAM,SALARY
61,"Manu Ginobili, G",San Antonio Spurs,"$9,079,811"
62,"Boris Diaw, C",Phoenix Suns,"$9,000,000"
63,"Mehmet Okur, C",Utah Jazz,"$9,000,000"
64,"Eddy Curry, NA",New York Knicks,"$8,947,543"
65,"Jason Williams, PG",Miami Heat,"$8,937,500"
66,"Jason Terry, G",Dallas Mavericks,"$8,898,000"
67,"Nene Hilario, C",Denver Nuggets,"$8,840,000"
68,"Tayshaun Prince, SF",Detroit Pistons,"$8,675,620"
69,"Chris Kaman, C",LA Clippers,"$8,600,000"
70,"Andres Nocioni, SF",Chicago Bulls,"$8,500,000"
RK,NAME,TEAM,SALARY
71,"Caron Butler, SF",Washington Wizards,"$8,468,990"
72,"Al Harrington, PF",Golden State Warriors,"$8,425,625"
73,"Mike Miller, SG",Memphis Grizzlies,"$8,376,194"
74,"Cuttino Mobley, SG",LA Clippers,"$8,350,000"
75,"Antoine Walker, PF",Minnesota Timberwolves,"$8,329,640"
76,"T.J. Ford, PG",Toronto Raptors,"$8,275,000"
77,"Darius Miles, SF",Portland Trail Blazers,"$8,250,000"
78,"Mike Dunleavy, SG",Indiana Pacers,"$8,219,008"
79,"Quentin Richardson, SF",New York Knicks,"$8,105,500"
80,"Kurt Thomas, PF",San Antonio Spurs,"$8,091,188"
RK,NAME,TEAM,SALARY
81,"Jamal Crawford, G",New York Knicks,"$7,920,000"
82,"Mark Blount, C",Miami Heat,"$7,901,040"
83,"Kenny Thomas, PF",Sacramento Kings,"$7,875,000"
84,"Rasho Nesterovic, C",Toronto Raptors,"$7,840,000"
85,"Mo Williams, PG",Milwaukee Bucks,"$7,750,000"
86,"Metta World Peace, SF",Sacramento Kings,"$7,400,000"
87,"Malik Rose, PF",New York Knicks,"$7,101,250"
88,"Corey Maggette, SF",LA Clippers,"$7,000,000"
89,"Aaron McKie, SG",Memphis Grizzlies,"$7,000,000"
90,"Ricky Davis, SG",Miami Heat,"$6,819,000"
RK,NAME,TEAM,SALARY
91,"Jerry Stackhouse, SF",Dallas Mavericks,"$6,750,000"
92,"Eric Snow, PG",Cleveland Cavaliers,"$6,703,125"
93,"Stephen Jackson, SF",Golden State Warriors,"$6,630,000"
94,"Luke Ridnour, PG",Seattle SuperSonics,"$6,500,000"
95,"Darko Milicic, C",Memphis Grizzlies,"$6,500,000"
96,"Chris Wilcox, PF",Seattle SuperSonics,"$6,500,000"
97,"Drew Gooden, PF",Chicago Bulls,"$6,453,416"
98,"Antonio McDyess, PF",Detroit Pistons,"$6,373,900"
99,"Marquis Daniels, SG",Indiana Pacers,"$6,373,900"
100,"Hedo Turkoglu, SF",Orlando Magic,"$6,373,900"
RK,NAME,TEAM,SALARY
101,"Etan Thomas, C",Washington Wizards,"$6,373,900"
102,"Speedy Claxton, PG",Atlanta Hawks,"$6,306,182"
103,"Jamaal Tinsley, PG",Indiana Pacers,"$6,300,000"
104,"Jason Collins, C",Memphis Grizzlies,"$6,100,000"
105,"Dwight Howard, C",Orlando Magic,"$6,061,274"
106,"Marko Jaric, PG",Minnesota Timberwolves,"$6,050,000"
107,"Udonis Haslem, PF",Miami Heat,"$6,050,000"
108,"Matt Harpring, SF",Utah Jazz,"$6,000,000"
109,"Shane Battier, SF",Houston Rockets,"$5,883,600"
110,"Brian Cardinal, PF",Memphis Grizzlies,"$5,850,000"
RK,NAME,TEAM,SALARY
111,"Mike James, PG",New Orleans Hornets,"$5,826,893"
112,"Shareef Abdur-Rahim, PF",Sacramento Kings,"$5,800,000"
113,"Earl Watson, PG",Seattle SuperSonics,"$5,800,000"
114,"Stromile Swift, PF",New Jersey Nets,"$5,800,000"
115,"Antonio Daniels, PG",Washington Wizards,"$5,800,000"
116,"Jerome James, C",New York Knicks,"$5,800,000"
117,"Joel Przybilla, C",Portland Trail Blazers,"$5,762,575"
118,"Dan Gadzuric, C",Milwaukee Bucks,"$5,751,130"
119,"Nick Collison, F",Seattle SuperSonics,"$5,750,000"
120,"Bobby Jackson, PG",Houston Rockets,"$5,670,000"
RK,NAME,TEAM,SALARY
121,"Nazr Mohammed, C",Charlotte Bobcats,"$5,632,200"
122,"Jared Jeffries, PF",New York Knicks,"$5,632,200"
123,"Tim Thomas, PF",LA Clippers,"$5,632,200"
124,"Vladimir Radmanovic, SF",Los Angeles Lakers,"$5,632,200"
125,"Leandro Barbosa, G",Phoenix Suns,"$5,600,000"
126,"Donyell Marshall, PF",Seattle SuperSonics,"$5,566,965"
127,"Jeff Foster, PF",Indiana Pacers,"$5,500,000"
128,"Matt Carroll, SG",Charlotte Bobcats,"$5,450,000"
129,"Emeka Okafor, C",Charlotte Bobcats,"$5,427,307"
130,"Mikki Moore, C",Sacramento Kings,"$5,356,000"
RK,NAME,TEAM,SALARY
131,"Jason Kapono, SG",Toronto Raptors,"$5,356,000"
132,"Anderson Varejao, C",Cleveland Cavaliers,"$5,356,000"
133,"Joe Smith, PF",Cleveland Cavaliers,"$5,205,000"
134,"Tony Battie, C",Orlando Magic,"$5,200,000"
135,"Morris Peterson, SG",New Orleans Hornets,"$5,000,000"
136,"Desmond Mason, SF",Milwaukee Bucks,"$5,000,000"
137,"Brendan Haywood, C",Washington Wizards,"$5,000,000"
138,"Andrew Bogut, C",Milwaukee Bucks,"$4,991,520"
139,"Eduardo Najera, PF",Denver Nuggets,"$4,952,380"
140,"Ben Gordon, SG",Chicago Bulls,"$4,881,669"
RK,NAME,TEAM,SALARY
141,"Andrea Bargnani, C",Toronto Raptors,"$4,838,880"
142,"John Salmons, SF",Sacramento Kings,"$4,752,000"
143,"Raja Bell, SG",Phoenix Suns,"$4,750,000"
144,"Greg Oden, C",Portland Trail Blazers,"$4,662,000"
145,"Rafer Alston, PG",Houston Rockets,"$4,550,000"
146,"Kyle Korver, G",Utah Jazz,"$4,500,000"
147,"Kendrick Perkins, C",Boston Celtics,"$4,480,912"
148,"Marvin Williams, F",Atlanta Hawks,"$4,466,040"
149,"Shaun Livingston, G",LA Clippers,"$4,404,629"
150,"Derek Fisher, PG",Los Angeles Lakers,"$4,352,000"
RK,NAME,TEAM,SALARY
151,"Trenton Hassell, SF",New Jersey Nets,"$4,350,000"
152,"Anthony Parker, SG",Toronto Raptors,"$4,350,000"
153,"LaMarcus Aldridge, C",Portland Trail Blazers,"$4,329,360"
154,"Reggie Evans, C",Philadelphia 76ers,"$4,320,000"
155,"Sasha Pavlovic, SG",Cleveland Cavaliers,"$4,250,000"
156,"Steve Blake, PG",Portland Trail Blazers,"$4,250,000"
157,"Keith Van Horn, PF",New Jersey Nets,"$4,236,997"
158,"Damon Jones, PG",Cleveland Cavaliers,"$4,172,432"
159,"Kevin Durant, PF",Seattle SuperSonics,"$4,171,200"
160,"Bruce Bowen, SF",San Antonio Spurs,"$4,125,000"
RK,NAME,TEAM,SALARY
161,"Deron Williams, PG",Utah Jazz,"$4,010,640"
162,"Jorge Garbajosa, PF",Toronto Raptors,"$4,000,000"
163,"Travis Outlaw, SF",Portland Trail Blazers,"$4,000,000"
164,"Sarunas Jasikevicius, PG",Golden State Warriors,"$4,000,000"
165,"Zaza Pachulia, C",Atlanta Hawks,"$4,000,000"
166,"Luke Walton, SF",Los Angeles Lakers,"$4,000,000"
167,"Carlos Arroyo, PG",Orlando Magic,"$4,000,000"
168,"Devin Harris, G",New Jersey Nets,"$3,995,003"
169,"Marcus Banks, PG",Miami Heat,"$3,966,207"
170,"Darius Songaila, PF",Washington Wizards,"$3,942,000"
RK,NAME,TEAM,SALARY
171,"Adam Morrison, SF",Charlotte Bobcats,"$3,887,880"
172,"Bob Sura, PG",Houston Rockets,"$3,840,000"
173,"Pat Garrity, PF",Orlando Magic,"$3,818,750"
174,"Greg Buckner, SG",Minnesota Timberwolves,"$3,750,746"
175,"Al Horford, C",Atlanta Hawks,"$3,745,800"
176,"Amir Johnson, F",Detroit Pistons,"$3,666,667"
177,"Steven Hunter, C",Denver Nuggets,"$3,638,600"
178,"Robert Horry, PF",San Antonio Spurs,"$3,630,000"
179,"Chris Paul, PG",New Orleans Hornets,"$3,615,960"
180,"Keyon Dooling, PG",Orlando Magic,"$3,596,000"
RK,NAME,TEAM,SALARY
181,"Tyrus Thomas, PF",Chicago Bulls,"$3,505,320"
182,"Fabricio Oberto, C",San Antonio Spurs,"$3,500,000"
183,"Brian Cook, PF",Orlando Magic,"$3,500,000"
184,"Mickael Pietrus, SF",Golden State Warriors,"$3,470,771"
185,"Kevin Ollie, PG",Philadelphia 76ers,"$3,441,900"
186,"Mike Conley, PG",Memphis Grizzlies,"$3,377,160"
187,"DeShawn Stevenson, SG",Washington Wizards,"$3,348,215"
188,"Luol Deng, F",Chicago Bulls,"$3,320,339"
189,"Rasual Butler, SF",New Orleans Hornets,"$3,315,000"
190,"Fred Jones, SG",New York Knicks,"$3,300,000"
RK,NAME,TEAM,SALARY
191,"Raymond Felton, G",Charlotte Bobcats,"$3,274,440"
192,"Lorenzen Wright, PF",Sacramento Kings,"$3,250,000"
193,"Chris Duhon, PG",Chicago Bulls,"$3,248,000"
194,"James Posey, SF",Boston Celtics,"$3,206,000"
195,"Shelden Williams, C",Sacramento Kings,"$3,174,240"
196,"Michael Doleac, C",Minnesota Timberwolves,"$3,120,000"
197,"Charlie Bell, SG",Milwaukee Bucks,"$3,106,000"
198,"Michael Finley, SG",San Antonio Spurs,"$3,103,000"
199,"Trevor Ariza, SF",Los Angeles Lakers,"$3,100,000"
200,"Willie Green, SG",Philadelphia 76ers,"$3,094,000"
RK,NAME,TEAM,SALARY
201,"Jeff Green, PF",Seattle SuperSonics,"$3,058,200"
202,"Chucky Atkins, PG",Denver Nuggets,"$3,000,000"
203,"Francisco Elson, C",Seattle SuperSonics,"$3,000,000"
204,"Jake Voskuhl, C",Milwaukee Bucks,"$3,000,000"
205,"Matt Barnes, SF",Golden State Warriors,"$3,000,000"
206,"Brian Scalabrine, PF",Boston Celtics,"$3,000,000"
207,"Martell Webster, SF",Portland Trail Blazers,"$2,974,080"
208,"Luis Scola, F",Houston Rockets,"$2,916,667"
209,"Damien Wilkins, SG",Seattle SuperSonics,"$2,900,000"
210,"James Jones, SG",Portland Trail Blazers,"$2,900,000"
RK,NAME,TEAM,SALARY
211,"Brandon Roy, SG",Portland Trail Blazers,"$2,883,120"
212,"Anthony Johnson, PG",Sacramento Kings,"$2,860,000"
213,"Andre Iguodala, F",Philadelphia 76ers,"$2,804,889"
214,"Yi Jianlian, SF",Milwaukee Bucks,"$2,777,760"
215,"Alonzo Mourning, C",Miami Heat,"$2,762,500"
216,"Primoz Brezec, C",Toronto Raptors,"$2,750,000"
217,"Charlie Villanueva, PF",Milwaukee Bucks,"$2,715,000"
218,"Matt Bonner, C",San Antonio Spurs,"$2,700,000"
219,"Andris Biedrins, C",Golden State Warriors,"$2,636,696"
220,"Randy Foye, SG",Minnesota Timberwolves,"$2,631,840"
RK,NAME,TEAM,SALARY
221,"Robert Swift, C",Seattle SuperSonics,"$2,601,113"
222,"Sebastian Telfair, PG",Minnesota Timberwolves,"$2,562,426"
223,"Juan Dixon, SG",Detroit Pistons,"$2,550,000"
224,"Corey Brewer, F",Minnesota Timberwolves,"$2,535,720"
225,"Kris Humphries, PF",Toronto Raptors,"$2,522,913"
226,"Chris Mihm, C",Los Angeles Lakers,"$2,500,000"
227,"Bostjan Nachbar, SF",New Jersey Nets,"$2,500,000"
228,"Channing Frye, F",Portland Trail Blazers,"$2,487,240"
229,"Al Jefferson, C",Minnesota Timberwolves,"$2,480,885"
230,"Andray Blatche, C",Washington Wizards,"$2,479,339"
RK,NAME,TEAM,SALARY
231,"Jose Calderon, G",Toronto Raptors,"$2,471,604"
232,"Keith Bogans, SG",Orlando Magic,"$2,440,000"
233,"Steve Francis, PG",Houston Rockets,"$2,439,333"
