0,1,2,3
RK,NAME,TEAM,SALARY
1,"Stephen Curry, PG",Golden State Warriors,"$48,070,014"
2,"LeBron James, SF",Los Angeles Lakers,"$44,474,988"
3,"Kevin Durant, PF",Phoenix Suns,"$44,119,845"
4,"Bradley Beal, SG",Washington Wizards,"$43,279,250"
5,"Giannis Antetokounmpo, PF",Milwaukee Bucks,"$42,492,492"
6,"Damian Lillard, PG",Portland Trail Blazers,"$42,492,492"
7,"Kawhi Leonard, SF",LA Clippers,"$42,492,492"
8,"Paul George, F",LA Clippers,"$42,492,492"
9,"Klay Thompson, SG",Golden State Warriors,"$40,600,080"
10,"Kyrie Irving, PG",Dallas Mavericks,"$38,917,057"
RK,NAME,TEAM,SALARY
11,"Rudy Gobert, C",Minnesota Timberwolves,"$38,172,414"
12,"Anthony Davis, PF",Los Angeles Lakers,"$37,980,720"
13,"Khris Middleton, SF",Milwaukee Bucks,"$37,948,276"
14,"Jimmy Butler, SF",Miami Heat,"$37,653,300"
15,"Tobias Harris, PF",Philadelphia 76ers,"$37,633,050"
16,"Zach LaVine, SG",Chicago Bulls,"$37,096,500"
17,"Luka Doncic, PG",Dallas Mavericks,"$37,095,000"
18,"Trae Young, PG",Atlanta Hawks,"$37,095,000"
19,"Pascal Siakam, PF",Toronto Raptors,"$35,448,672"
20,"Ben Simmons, PG",Brooklyn Nets,"$35,448,672"
RK,NAME,TEAM,SALARY
21,"Myles Turner, C",Indiana Pacers,"$35,096,500"
22,"Devin Booker, SG",Phoenix Suns,"$33,833,400"
23,"Karl-Anthony Towns, C",Minnesota Timberwolves,"$33,833,400"
24,"Kristaps Porzingis, C",Washington Wizards,"$33,833,400"
25,"Jrue Holiday, PG",Milwaukee Bucks,"$33,665,040"
26,"Joel Embiid, C",Philadelphia 76ers,"$33,616,770"
27,"Andrew Wiggins, SF",Golden State Warriors,"$33,616,770"
28,"CJ McCollum, SG",New Orleans Pelicans,"$33,333,333"
29,"Nikola Jokic, C",Denver Nuggets,"$33,047,804"
30,"James Harden, SG",Philadelphia 76ers,"$33,000,000"
RK,NAME,TEAM,SALARY
31,"Brandon Ingram, SF",New Orleans Pelicans,"$31,650,600"
32,"Jamal Murray, PG",Denver Nuggets,"$31,650,000"
33,"D'Angelo Russell, PG",Los Angeles Lakers,"$31,377,750"
34,"Shai Gilgeous-Alexander, PG",Oklahoma City Thunder,"$30,913,750"
35,"Deandre Ayton, C",Phoenix Suns,"$30,913,750"
36,"Michael Porter Jr., SF",Denver Nuggets,"$30,913,750"
37,"Donovan Mitchell, SG",Cleveland Cavaliers,"$30,913,750"
38,"Bam Adebayo, C",Miami Heat,"$30,351,780"
39,"Gordon Hayward, SF",Charlotte Hornets,"$30,075,000"
40,"Jaren Jackson Jr., PF",Memphis Grizzlies,"$28,946,605"
RK,NAME,TEAM,SALARY
41,"Jaylen Brown, SG",Boston Celtics,"$28,741,071"
42,"Chris Paul, PG",Phoenix Suns,"$28,400,000"
43,"Kyle Lowry, PG",Miami Heat,"$28,333,334"
44,"De'Aaron Fox, PG",Sacramento Kings,"$28,103,550"
45,"Jayson Tatum, SF",Boston Celtics,"$28,103,500"
46,"Jalen Brunson, PG",New York Knicks,"$27,733,332"
47,"DeMar DeRozan, SF",Chicago Bulls,"$27,300,000"
48,"Al Horford, C",Boston Celtics,"$26,500,000"
49,"Draymond Green, PF",Golden State Warriors,"$25,806,468"
50,"Julius Randle, PF",New York Knicks,"$23,760,000"
RK,NAME,TEAM,SALARY
51,"John Collins, PF",Atlanta Hawks,"$23,500,000"
52,"Buddy Hield, SG",Indiana Pacers,"$22,768,890"
53,"Mike Conley, PG",Minnesota Timberwolves,"$22,680,000"
54,"Malcolm Brogdon, PG",Boston Celtics,"$22,600,000"
55,"Anfernee Simons, SG",Portland Trail Blazers,"$22,321,429"
56,"Nikola Vucevic, C",Chicago Bulls,"$22,000,000"
57,"Terry Rozier, SG",Charlotte Hornets,"$21,486,283"
58,"Fred VanVleet, PG",Toronto Raptors,"$21,250,000"
59,"Jerami Grant, SF",Portland Trail Blazers,"$20,955,000"
60,"Mikal Bridges, SF",Brooklyn Nets,"$20,100,000"
RK,NAME,TEAM,SALARY
61,"Jarrett Allen, C",Cleveland Cavaliers,"$20,000,000"
62,"Aaron Gordon, PF",Denver Nuggets,"$19,690,909"
63,"Tim Hardaway Jr., SF",Dallas Mavericks,"$19,602,273"
64,"Bojan Bogdanovic, SF",Detroit Pistons,"$19,550,000"
65,"Lonzo Ball, PG",Chicago Bulls,"$19,534,884"
66,"Spencer Dinwiddie, PG",Brooklyn Nets,"$19,500,000"
67,"Eric Bledsoe, SG",Portland Trail Blazers,"$19,375,000"
68,"Caris LeVert, SG",Cleveland Cavaliers,"$18,796,296"
69,"Clint Capela, C",Atlanta Hawks,"$18,706,896"
70,"Joe Harris, SF",Brooklyn Nets,"$18,642,857"
RK,NAME,TEAM,SALARY
71,"Domantas Sabonis, PF",Sacramento Kings,"$18,500,000"
72,"Harrison Barnes, SF",Sacramento Kings,"$18,352,273"
73,"Evan Fournier, SG",New York Knicks,"$18,000,000"
74,"Bogdan Bogdanovic, SG",Atlanta Hawks,"$18,000,000"
75,"Steven Adams, C",Memphis Grizzlies,"$17,926,829"
76,"Gary Trent Jr., SG",Toronto Raptors,"$17,505,000"
77,"Jonathan Isaac, PF",Orlando Magic,"$17,400,000"
78,"O.G. Anunoby, SF",Toronto Raptors,"$17,357,143"
79,"Marcus Smart, PG",Boston Celtics,"$17,207,141"
80,"Mitchell Robinson, C",New York Knicks,"$17,045,454"
RK,NAME,TEAM,SALARY
81,"Duncan Robinson, F",Miami Heat,"$16,902,000"
82,"Derrick White, PG",Boston Celtics,"$16,892,857"
83,"Norman Powell, G",LA Clippers,"$16,758,621"
84,"Dejounte Murray, SG",Atlanta Hawks,"$16,571,120"
85,"Collin Sexton, PG",Utah Jazz,"$16,500,000"
86,"Markelle Fultz, PG",Orlando Magic,"$16,500,000"
87,"Lauri Markkanen, PF",Utah Jazz,"$16,475,454"
88,"Marcus Morris Sr., SF",LA Clippers,"$16,372,093"
89,"Davis Bertans, SF",Dallas Mavericks,"$16,000,000"
90,"Jusuf Nurkic, C",Portland Trail Blazers,"$15,625,000"
RK,NAME,TEAM,SALARY
91,"Malik Beasley, SG",Los Angeles Lakers,"$15,558,035"
92,"Luguentz Dort, G",Oklahoma City Thunder,"$15,277,778"
93,"Jonas Valanciunas, C",New Orleans Pelicans,"$14,700,000"
94,"Kevin Huerter, SG",Sacramento Kings,"$14,508,929"
95,"Luke Kennard, SG",Memphis Grizzlies,"$14,415,545"
96,"Christian Wood, F",Dallas Mavericks,"$14,317,460"
97,"Wendell Carter Jr., C",Orlando Magic,"$14,150,000"
98,"Kentavious Caldwell-Pope, SG",Denver Nuggets,"$14,004,703"
99,"Brook Lopez, C",Milwaukee Bucks,"$13,906,976"
100,"Doug McDermott, SF",San Antonio Spurs,"$13,750,000"
RK,NAME,TEAM,SALARY
101,"Zion Williamson, PF",New Orleans Pelicans,"$13,534,817"
102,"Jordan Clarkson, PG",Utah Jazz,"$13,340,000"
103,"Kyle Kuzma, SF",Washington Wizards,"$13,000,000"
104,"Gary Harris, SG",Orlando Magic,"$13,000,000"
105,"Josh Hart, SG",New York Knicks,"$12,960,000"
106,"Dorian Finney-Smith, PF",Brooklyn Nets,"$12,939,648"
107,"Chris Boucher, PF",Toronto Raptors,"$12,690,000"
108,"Kelly Oubre Jr., SG",Charlotte Hornets,"$12,600,000"
109,"Marvin Bagley III, PF",Detroit Pistons,"$12,500,000"
110,"Robert Covington, PF",LA Clippers,"$12,307,692"
RK,NAME,TEAM,SALARY
111,"Kelly Olynyk, PF",Utah Jazz,"$12,195,122"
112,"Josh Richardson, SG",New Orleans Pelicans,"$11,615,328"
113,"Devonte' Graham, PG",San Antonio Spurs,"$11,550,000"
114,"Dillon Brooks, SF",Memphis Grizzlies,"$11,400,000"
115,"Richaun Holmes, F",Sacramento Kings,"$11,215,260"
116,"Dwight Powell, C",Dallas Mavericks,"$11,080,125"
117,"Paolo Banchero, PF",Orlando Magic,"$11,055,120"
118,"Robert Williams III, C",Boston Celtics,"$10,937,502"
119,"RJ Barrett, SG",New York Knicks,"$10,900,635"
120,"Nicolas Batum, PF",LA Clippers,"$10,843,350"
RK,NAME,TEAM,SALARY
121,"Bobby Portis, F",Milwaukee Bucks,"$10,843,350"
122,"Anthony Edwards, SG",Minnesota Timberwolves,"$10,733,400"
123,"Cade Cunningham, PG",Detroit Pistons,"$10,552,800"
124,"P.J. Tucker, PF",Philadelphia 76ers,"$10,490,000"
125,"Mo Bamba, C",Los Angeles Lakers,"$10,300,000"
126,"Talen Horton-Tucker, SG",Utah Jazz,"$10,260,000"
127,"Derrick Favors, F",Chicago Bulls,"$10,183,800"
128,"Jae Crowder, PF",Milwaukee Bucks,"$10,183,000"
129,"Ivica Zubac, C",LA Clippers,"$10,123,457"
130,"Reggie Bullock Jr., SF",Dallas Mavericks,"$10,012,800"
RK,NAME,TEAM,SALARY
131,"Alec Burks, SG",Detroit Pistons,"$10,012,800"
132,"Chet Holmgren, PF",Oklahoma City Thunder,"$9,891,240"
133,"De'Andre Hunter, SF",Atlanta Hawks,"$9,835,881"
134,"Larry Nance Jr., PF",New Orleans Pelicans,"$9,672,727"
135,"Ja Morant, PG",Memphis Grizzlies,"$9,603,360"
136,"James Wiseman, C",Detroit Pistons,"$9,603,360"
137,"Landry Shamet, SG",Phoenix Suns,"$9,500,000"
138,"Malik Monk, SG",Sacramento Kings,"$9,472,219"
139,"Jalen Green, SG",Houston Rockets,"$9,441,840"
140,"Jakob Poeltl, C",Toronto Raptors,"$9,398,148"
RK,NAME,TEAM,SALARY
141,"Nerlens Noel, C",Brooklyn Nets,"$9,240,000"
142,"Dario Saric, PF",Oklahoma City Thunder,"$9,240,000"
143,"Royce O'Neale, PF",Brooklyn Nets,"$9,200,000"
144,"Monte Morris, PG",Washington Wizards,"$9,125,000"
145,"Mason Plumlee, C",LA Clippers,"$9,080,417"
146,"Alex Caruso, SG",Chicago Bulls,"$9,030,000"
147,"Maxi Kleber, PF",Dallas Mavericks,"$9,000,000"
148,"Darius Garland, PG",Cleveland Cavaliers,"$8,920,795"
149,"Jabari Smith Jr., PF",Houston Rockets,"$8,882,640"
150,"Kyle Anderson, SF",Minnesota Timberwolves,"$8,780,488"
RK,NAME,TEAM,SALARY
151,"Victor Oladipo, SG",Miami Heat,"$8,750,000"
152,"Daniel Theis, C",Indiana Pacers,"$8,694,369"
153,"LaMelo Ball, PG",Charlotte Hornets,"$8,623,920"
154,"Grayson Allen, SG",Milwaukee Bucks,"$8,500,000"
155,"Nic Claxton, C",Brooklyn Nets,"$8,500,000"
156,"Seth Curry, SG",Brooklyn Nets,"$8,496,500"
157,"Evan Mobley, PF",Cleveland Cavaliers,"$8,478,720"
158,"Gary Payton II, SG",Golden State Warriors,"$8,300,000"
159,"De'Anthony Melton, SG",Philadelphia 76ers,"$8,250,000"
160,"T.J. McConnell, PG",Indiana Pacers,"$8,100,000"
RK,NAME,TEAM,SALARY
161,"Keegan Murray, SF",Sacramento Kings,"$8,008,440"
162,"Thaddeus Young, PF",Toronto Raptors,"$8,000,000"
163,"Taurean Prince, PF",Minnesota Timberwolves,"$8,000,000"
164,"Kevon Looney, F",Golden State Warriors,"$8,000,000"
165,"Isaiah Hartenstein, C",New York Knicks,"$7,804,879"
166,"Delon Wright, SG",Washington Wizards,"$7,804,878"
167,"Patrick Williams, PF",Chicago Bulls,"$7,775,400"
168,"Scottie Barnes, SF",Toronto Raptors,"$7,644,720"
169,"Cedi Osman, SF",Cleveland Cavaliers,"$7,426,088"
170,"Coby White, PG",Chicago Bulls,"$7,413,955"
RK,NAME,TEAM,SALARY
171,"Aron Baynes, C",Toronto Raptors,"$7,350,000"
172,"Zach Collins, PF",San Antonio Spurs,"$7,350,000"
173,"Jaden Ivey, PG",Detroit Pistons,"$7,252,200"
174,"Jae'Sean Tate, SF",Houston Rockets,"$7,065,217"
175,"Isaac Okoro, SF",Cleveland Cavaliers,"$7,040,880"
176,"Cody Martin, SF",Charlotte Hornets,"$7,000,000"
177,"Jalen Suggs, SG",Orlando Magic,"$6,922,320"
178,"Jaxson Hayes, C",New Orleans Pelicans,"$6,803,012"
179,"Khem Birch, C",Toronto Raptors,"$6,667,500"
180,"Bennedict Mathurin, SG",Indiana Pacers,"$6,586,800"
RK,NAME,TEAM,SALARY
181,"Danilo Gallinari, PF",Washington Wizards,"$6,479,000"
182,"Joe Ingles, SG",Milwaukee Bucks,"$6,479,000"
183,"Lonnie Walker IV, G",Los Angeles Lakers,"$6,479,000"
184,"Caleb Martin, SF",Miami Heat,"$6,479,000"
185,"Bruce Brown, SF",Denver Nuggets,"$6,479,000"
186,"John Wall, PG",LA Clippers,"$6,479,000"
187,"Patty Mills, PG",Brooklyn Nets,"$6,479,000"
188,"Onyeka Okongwu, PF",Atlanta Hawks,"$6,395,160"
189,"Jarrett Culver, G",Atlanta Hawks,"$6,395,160"
190,"Josh Giddey, SG",Oklahoma City Thunder,"$6,287,280"
RK,NAME,TEAM,SALARY
191,"Rui Hachimura, PF",Los Angeles Lakers,"$6,263,188"
192,"Rudy Gay, SF",Utah Jazz,"$6,184,500"
193,"Shaedon Sharpe, SG",Portland Trail Blazers,"$6,012,960"
194,"Otto Porter Jr., SF",Toronto Raptors,"$6,000,000"
195,"Cameron Payne, PG",Phoenix Suns,"$6,000,000"
196,"Cam Reddish, SF",Portland Trail Blazers,"$5,954,454"
197,"Cameron Johnson, SF",Brooklyn Nets,"$5,887,899"
198,"Ricky Rubio, PG",Cleveland Cavaliers,"$5,853,659"
199,"Kevin Knox II, SF",Portland Trail Blazers,"$5,845,979"
200,"P.J. Washington, PF",Charlotte Hornets,"$5,808,435"
RK,NAME,TEAM,SALARY
201,"Jonathan Kuminga, PF",Golden State Warriors,"$5,739,860"
202,"Pat Connaughton, SG",Milwaukee Bucks,"$5,728,393"
203,"Tyler Herro, PG",Miami Heat,"$5,722,116"
204,"Romeo Langford, SG",San Antonio Spurs,"$5,634,257"
205,"Killian Hayes, PG",Detroit Pistons,"$5,572,680"
206,"Dyson Daniels, G",New Orleans Pelicans,"$5,508,600"
207,"JaVale McGee, C",Dallas Mavericks,"$5,461,219"
208,"Obi Toppin, PF",New York Knicks,"$5,348,280"
209,"Franz Wagner, SF",Orlando Magic,"$5,258,280"
210,"Kendrick Nunn, G",Washington Wizards,"$5,250,000"
RK,NAME,TEAM,SALARY
211,"Hamidou Diallo, SG",Detroit Pistons,"$5,200,000"
212,"Cory Joseph, PG",Detroit Pistons,"$5,155,500"
213,"Torrey Craig, SF",Phoenix Suns,"$5,121,951"
214,"Jeremy Sochan, F",San Antonio Spurs,"$5,063,520"
215,"David Nwaba, SF",Oklahoma City Thunder,"$5,022,000"
216,"Nickeil Alexander-Walker, SG",Minnesota Timberwolves,"$5,009,633"
217,"Furkan Korkmaz, SG",Philadelphia 76ers,"$5,000,000"
218,"Dante Exum, G",Dallas Mavericks,"$5,000,000"
219,"Lou Williams, SG",Atlanta Hawks,"$5,000,000"
220,"Deni Avdija, SF",Washington Wizards,"$4,916,160"
RK,NAME,TEAM,SALARY
221,"Garrett Temple, SF",New Orleans Pelicans,"$4,910,000"
222,"Davion Mitchell, PG",Sacramento Kings,"$4,833,600"
223,"Johnny Davis, G",Washington Wizards,"$4,810,320"
224,"Ish Smith, PG",Denver Nuggets,"$4,750,000"
225,"Jalen Smith, PF",Indiana Pacers,"$4,670,160"
226,"Ziaire Williams, F",Memphis Grizzlies,"$4,591,680"
227,"Ousmane Dieng, F",Oklahoma City Thunder,"$4,569,840"
228,"Maurice Harkless, SF",Houston Rockets,"$4,564,980"
229,"Donte DiVincenzo, SG",Golden State Warriors,"$4,500,000"
230,"Jeff Green, PF",Denver Nuggets,"$4,500,000"
RK,NAME,TEAM,SALARY
231,"Devin Vassell, SG",San Antonio Spurs,"$4,437,000"
232,"Matisse Thybulle, SG",Portland Trail Blazers,"$4,379,527"
233,"Jarred Vanderbilt, PF",Los Angeles Lakers,"$4,374,000"
234,"James Bouknight, SG",Charlotte Hornets,"$4,362,240"
235,"Brandon Clarke, PF",Memphis Grizzlies,"$4,343,920"
236,"Jalen Williams, F",Oklahoma City Thunder,"$4,341,480"
237,"Grant Williams, PF",Boston Celtics,"$4,306,281"
238,"Darius Bazley, PF",Phoenix Suns,"$4,264,629"
239,"Tyrese Haliburton, PG",Indiana Pacers,"$4,215,120"
240,"Nassir Little, SF",Portland Trail Blazers,"$4,171,548"
RK,NAME,TEAM,SALARY
241,"Joshua Primo, G",San Antonio Spurs,"$4,144,320"
242,"Jalen Duren, C",Detroit Pistons,"$4,124,280"
243,"Danuel House Jr., SF",Philadelphia 76ers,"$4,105,000"
244,"Justise Winslow, PF",Portland Trail Blazers,"$4,097,561"
245,"Dylan Windler, SG",Cleveland Cavaliers,"$4,037,278"
246,"Chandler Hutchison, SF",Phoenix Suns,"$4,019,459"
247,"Kira Lewis Jr., PG",New Orleans Pelicans,"$4,004,280"
248,"Terence Davis, SG",Sacramento Kings,"$4,000,000"
249,"George Hill, PG",Indiana Pacers,"$4,000,000"
250,"Chris Duarte, SG",Indiana Pacers,"$3,936,960"
RK,NAME,TEAM,SALARY
251,"Ochai Agbaji, G",Utah Jazz,"$3,918,360"
252,"Alex Len, C",Sacramento Kings,"$3,918,000"
253,"Jordan Poole, SG",Golden State Warriors,"$3,901,399"
254,"Keldon Johnson, SF",San Antonio Spurs,"$3,873,025"
255,"Aaron Nesmith, SF",Indiana Pacers,"$3,804,360"
256,"Mark Williams, C",Charlotte Hornets,"$3,722,040"
257,"Gabriel Deck, SF",Oklahoma City Thunder,"$3,676,852"
258,"Cole Anthony, PG",Orlando Magic,"$3,613,680"
259,"Sekou Doumbouya, SF",Los Angeles Lakers,"$3,613,680"
260,"Moses Moody, SG",Golden State Warriors,"$3,562,200"
RK,NAME,TEAM,SALARY
261,"Corey Kispert, SF",Washington Wizards,"$3,552,960"
262,"AJ Griffin, F",Atlanta Hawks,"$3,536,160"
263,"Mike Muscala, C",Boston Celtics,"$3,500,000"
264,"Georges Niang, SF",Philadelphia 76ers,"$3,465,000"
265,"Chuma Okeke, PF",Orlando Magic,"$3,433,320"
266,"Isaiah Stewart, C",Detroit Pistons,"$3,433,320"
267,"Amir Coffey, SG",LA Clippers,"$3,395,062"
268,"Alperen Sengun, C",Houston Rockets,"$3,375,480"
269,"Tari Eason, F",Houston Rockets,"$3,309,160"
270,"Aleksej Pokusevski, F",Oklahoma City Thunder,"$3,261,480"
RK,NAME,TEAM,SALARY
271,"Trey Burke, PG",Oklahoma City Thunder,"$3,243,750"
272,"Kevin Porter Jr., G",Houston Rockets,"$3,217,631"
273,"Trey Murphy III, SG",New Orleans Pelicans,"$3,206,640"
274,"Simone Fontecchio, F",Utah Jazz,"$3,205,128"
275,"Derrick Jones Jr., SF",Chicago Bulls,"$3,200,000"
276,"Andre Drummond, C",Chicago Bulls,"$3,200,000"
277,"Dalen Terry, F",Chicago Bulls,"$3,191,400"
278,"Kevin Love, PF",Miami Heat,"$3,114,138"
279,"Josh Green, SG",Dallas Mavericks,"$3,098,400"
280,"Jake LaRavia, F",Memphis Grizzlies,"$3,047,640"
RK,NAME,TEAM,SALARY
281,"Tre Mann, PG",Oklahoma City Thunder,"$3,046,200"
282,"Sterling Brown, SF",Los Angeles Lakers,"$3,000,000"
283,"Jordan Nwora, SF",Indiana Pacers,"$3,000,000"
284,"Luka Samanic, F",Utah Jazz,"$2,959,080"
285,"Saddiq Bey, SF",Atlanta Hawks,"$2,959,080"
286,"Malaki Branham, G",San Antonio Spurs,"$2,925,600"
287,"Kai Jones, PF",Charlotte Hornets,"$2,909,040"
288,"Precious Achiuwa, PF",Toronto Raptors,"$2,840,160"
289,"Christian Braun, G",Denver Nuggets,"$2,808,600"
290,"Jalen Johnson, SF",Atlanta Hawks,"$2,792,640"
RK,NAME,TEAM,SALARY
291,"Tyrese Maxey, PG",Philadelphia 76ers,"$2,726,880"
292,"Bruno Fernando, PF",Atlanta Hawks,"$2,717,391"
293,"Trey Lyles, PF",Sacramento Kings,"$2,700,000"
294,"Walker Kessler, C",Utah Jazz,"$2,696,400"
295,"Marc Gasol, C",Memphis Grizzlies,"$2,692,991"
296,"Anthony Tolliver, PF",New Orleans Pelicans,"$2,692,991"
297,"Keon Johnson, G",Portland Trail Blazers,"$2,681,040"
298,"Charles Bassey, C",San Antonio Spurs,"$2,600,000"
299,"David Roddy, F",Memphis Grizzlies,"$2,588,640"
300,"Isaiah Jackson, SF",Indiana Pacers,"$2,573,760"
RK,NAME,TEAM,SALARY
301,"Zeke Nnaji, PF",Denver Nuggets,"$2,498,760"
302,"MarJon Beauchamp, F",Milwaukee Bucks,"$2,485,200"
303,"Usman Garuba, PF",Houston Rockets,"$2,471,160"
