0,1,2,3
RK,NAME,TEAM,SALARY
1,"Kevin Garnett, PF",Minnesota Timberwolves,"$22,400,000"
2,"Shaquille O'Neal, C",Los Angeles Lakers,"$21,428,000"
3,"Alonzo Mourning, C",Miami Heat,"$18,756,000"
4,"Juwan Howard, PF",Denver Nuggets,"$18,750,000"
5,"Scottie Pippen, SF",Portland Trail Blazers,"$18,083,000"
6,"Karl Malone, PF",Utah Jazz,"$17,500,000"
7,"Rasheed Wallace, PF",Portland Trail Blazers,"$14,400,000"
8,"Dikembe Mutombo, C",Philadelphia 76ers,"$14,315,000"
9,"Gary Payton, PG",Seattle SuperSonics,"$12,926,000"
10,"Shawn Kemp, C",Portland Trail Blazers,"$12,770,000"
RK,NAME,TEAM,SALARY
11,"Chris Webber, C",Sacramento Kings,"$12,750,000"
12,"Damon Stoudamire, PG",Portland Trail Blazers,"$12,375,000"
13,"Reggie Miller, SG",Indiana Pacers,"$12,045,000"
14,"Antonio McDyess, PF",Denver Nuggets,"$11,700,000"
15,"Antoine Walker, PF",Boston Celtics,"$11,250,000"
16,"Shareef Abdur-Rahim, PF",Atlanta Hawks,"$11,250,000"
17,"Allen Iverson, SG",Philadelphia 76ers,"$11,250,000"
18,"Latrell Sprewell, SG",New York Knicks,"$11,250,000"
19,"Vin Baker, PF",Seattle SuperSonics,"$11,250,000"
20,"Zydrunas Ilgauskas, C",Cleveland Cavaliers,"$11,250,000"
RK,NAME,TEAM,SALARY
21,"Anfernee Hardaway, SF",Phoenix Suns,"$11,250,000"
22,"Ray Allen, SG",Milwaukee Bucks,"$11,250,000"
23,"Kobe Bryant, SF",Los Angeles Lakers,"$11,250,000"
24,"Stephon Marbury, PG",Phoenix Suns,"$11,250,000"
25,"Antonio Davis, PF",Toronto Raptors,"$11,000,000"
26,"Tracy McGrady, SG",Orlando Magic,"$10,865,000"
27,"Tim Duncan, C",San Antonio Spurs,"$10,865,000"
28,"Jalen Rose, SG",Chicago Bulls,"$10,865,000"
29,"Keith Van Horn, PF",New Jersey Nets,"$10,865,000"
30,"Grant Hill, SF",Orlando Magic,"$10,865,000"
RK,NAME,TEAM,SALARY
31,"Michael Finley, SG",Dallas Mavericks,"$10,625,000"
32,"Vlade Divac, C",Sacramento Kings,"$10,444,000"
33,"Tom Gugliotta, PF",Phoenix Suns,"$10,113,000"
34,"Eddie Jones, SG",Miami Heat,"$10,080,000"
35,"Brian Grant, PF",Miami Heat,"$10,009,000"
36,"Allan Houston, SG",New York Knicks,"$10,000,000"
37,"Tim Thomas, PF",Milwaukee Bucks,"$9,675,000"
38,"David Robinson, C",San Antonio Spurs,"$9,500,000"
39,"Terrell Brandon, PG",Minnesota Timberwolves,"$9,250,000"
40,"Nick Van Exel, PG",Dallas Mavericks,"$9,093,000"
RK,NAME,TEAM,SALARY
41,"Steve Smith, SG",San Antonio Spurs,"$9,000,000"
42,"Glenn Robinson, SF",Milwaukee Bucks,"$8,990,000"
43,"Glen Rice, SF",Houston Rockets,"$8,800,000"
44,"Derrick Coleman, PF",Philadelphia 76ers,"$8,710,000"
45,"Theo Ratliff, C",Atlanta Hawks,"$8,593,000"
