0,1,2,3
RK,NAME,TEAM,SALARY
1,"Shaquille O'Neal, C",Miami Heat,"$20,000,000"
2,"Chris Webber, C",Philadelphia 76ers,"$19,125,000"
3,"Kevin Garnett, PF",Minnesota Timberwolves,"$18,000,000"
4,"Allen Iverson, SG",Philadelphia 76ers,"$16,453,125"
5,"Stephon Marbury, PG",New York Knicks,"$16,453,125"
6,"Jason Kidd, PG",New Jersey Nets,"$16,440,000"
7,"Jermaine O'Neal, C",Indiana Pacers,"$16,440,000"
8,"Kobe Bryant, SF",Los Angeles Lakers,"$15,946,875"
9,"Tim Duncan, C",San Antonio Spurs,"$15,845,157"
10,"Vin Baker, PF",LA Clippers,"$15,750,000"
RK,NAME,TEAM,SALARY
11,"Anfernee Hardaway, SF",Orlando Magic,"$15,750,000"
12,"Tracy McGrady, SG",Houston Rockets,"$15,694,250"
13,"Jalen Rose, SG",New York Knicks,"$15,694,250"
14,"Keith Van Horn, PF",Dallas Mavericks,"$15,694,250"
15,"Grant Hill, SF",Orlando Magic,"$15,694,250"
16,"Eddie Jones, SG",Memphis Grizzlies,"$14,666,250"
17,"Tim Thomas, PF",Phoenix Suns,"$13,975,000"
18,"Antonio Davis, PF",Toronto Raptors,"$13,865,000"
19,"Paul Pierce, SF",Boston Celtics,"$13,843,156"
20,"Dirk Nowitzki, F",Dallas Mavericks,"$13,843,156"
RK,NAME,TEAM,SALARY
21,"Antawn Jamison, PF",Washington Wizards,"$13,843,156"
22,"Vince Carter, G",New Jersey Nets,"$13,843,156"
23,"Steve Francis, PG",New York Knicks,"$13,700,000"
24,"Baron Davis, PG",Golden State Warriors,"$13,700,000"
25,"Shawn Marion, SG",Phoenix Suns,"$13,700,000"
26,"Ray Allen, SG",Seattle SuperSonics,"$13,223,140"
27,"Elton Brand, PF",LA Clippers,"$13,152,000"
28,"Michael Redd, SG",Milwaukee Bucks,"$12,000,000"
29,"Joe Johnson, G",Atlanta Hawks,"$12,000,000"
30,"Theo Ratliff, C",Portland Trail Blazers,"$11,666,666"
RK,NAME,TEAM,SALARY
31,"Mike Bibby, PG",Sacramento Kings,"$11,500,000"
32,"Lamar Odom, PF",Los Angeles Lakers,"$11,448,596"
33,"Carlos Boozer, PF",Utah Jazz,"$11,260,483"
34,"Pau Gasol, PF",Memphis Grizzlies,"$10,993,000"
35,"Andrei Kirilenko, SF",Utah Jazz,"$10,983,000"
36,"Kenyon Martin, PF",Denver Nuggets,"$10,886,364"
37,"Rasheed Wallace, PF",Detroit Pistons,"$10,860,000"
38,"Zach Randolph, F",Portland Trail Blazers,"$10,666,667"
39,"Raef LaFrentz, C",Boston Celtics,"$10,623,288"
40,"Wally Szczerbiak, SG",Boston Celtics,"$10,500,000"
RK,NAME,TEAM,SALARY
41,"Larry Hughes, SG",Cleveland Cavaliers,"$10,344,900"
42,"Gilbert Arenas, PG",Washington Wizards,"$10,243,200"
43,"Richard Jefferson, F",New Jersey Nets,"$10,200,000"
44,"Jamal Mashburn, SF",Philadelphia 76ers,"$10,075,000"
45,"Steve Nash, PG",Phoenix Suns,"$9,625,000"
46,"Rashard Lewis, PF",Seattle SuperSonics,"$9,571,429"
47,"Marcus Camby, C",Denver Nuggets,"$9,400,000"
48,"Maurice Taylor, PF",New York Knicks,"$9,100,000"
49,"Jason Richardson, SG",Golden State Warriors,"$8,888,888"
50,"Brad Miller, C",Sacramento Kings,"$8,750,000"
RK,NAME,TEAM,SALARY
51,"Zydrunas Ilgauskas, C",Cleveland Cavaliers,"$8,743,238"
52,"Kelvin Cato, C",Detroit Pistons,"$8,640,000"
53,"Samuel Dalembert, C",Philadelphia 76ers,"$8,477,178"
54,"Tony Parker, G",San Antonio Spurs,"$8,400,000"
55,"Jerry Stackhouse, SF",Dallas Mavericks,"$8,367,187"
56,"Jamaal Magloire, C",Milwaukee Bucks,"$8,333,334"
57,"Tyson Chandler, C",Chicago Bulls,"$8,299,670"
58,"Mehmet Okur, C",Utah Jazz,"$8,250,000"
59,"Kenny Thomas, PF",Sacramento Kings,"$8,183,769"
60,"Richard Hamilton, SG",Detroit Pistons,"$8,125,000"
RK,NAME,TEAM,SALARY
61,"Andre Miller, PG",Denver Nuggets,"$8,100,000"
62,"Bobby Simmons, SF",Milwaukee Bucks,"$8,000,000"
63,"Bonzi Wells, SG",Sacramento Kings,"$8,000,000"
64,"P.J. Brown, PF",NO/Oklahoma City  Hornets,"$8,000,000"
65,"Austin Croshere, PF",Indiana Pacers,"$7,900,000"
66,"Lorenzen Wright, PF",Memphis Grizzlies,"$7,700,000"
67,"Erick Dampier, C",Dallas Mavericks,"$7,662,500"
68,"Jason Williams, PG",Miami Heat,"$7,562,500"
69,"Peja Stojakovic, SF",Indiana Pacers,"$7,525,000"
70,"Kwame Brown, C",Los Angeles Lakers,"$7,500,000"
RK,NAME,TEAM,SALARY
71,"Doug Christie, SG",Dallas Mavericks,"$7,500,000"
72,"Ben Wallace, PF",Detroit Pistons,"$7,500,000"
73,"Manu Ginobili, G",San Antonio Spurs,"$7,428,937"
74,"Eddy Curry, NA",New York Knicks,"$7,394,663"
75,"Troy Murphy, PF",Golden State Warriors,"$7,365,079"
76,"Adonal Foyle, C",Golden State Warriors,"$7,312,500"
77,"Darius Miles, SF",Portland Trail Blazers,"$7,250,000"
78,"Cuttino Mobley, SG",LA Clippers,"$7,241,379"
79,"Desmond Mason, SF",NO/Oklahoma City  Hornets,"$7,233,333"
80,"Jonathan Bender, SF",Indiana Pacers,"$7,175,000"
RK,NAME,TEAM,SALARY
81,"Kurt Thomas, PF",Phoenix Suns,"$7,085,919"
82,"Corey Maggette, SF",LA Clippers,"$7,000,000"
83,"Malik Rose, PF",New York Knicks,"$6,979,147"
84,"Al Harrington, PF",Atlanta Hawks,"$6,975,500"
85,"Quentin Richardson, SF",New York Knicks,"$6,945,500"
86,"Howard Eisley, PG",Denver Nuggets,"$6,906,000"
87,"Antoine Walker, PF",Miami Heat,"$6,884,000"
88,"Mike Miller, SG",Memphis Grizzlies,"$6,871,431"
89,"Metta World Peace, SF",Sacramento Kings,"$6,842,105"
90,"Rasho Nesterovic, C",San Antonio Spurs,"$6,720,000"
RK,NAME,TEAM,SALARY
91,"Jason Terry, G",Dallas Mavericks,"$6,666,667"
92,"Jamal Crawford, G",New York Knicks,"$6,480,000"
93,"Joe Smith, PF",Milwaukee Bucks,"$6,353,200"
94,"Ruben Patterson, PF",Denver Nuggets,"$6,353,200"
95,"Alvin Williams, PG",Toronto Raptors,"$6,300,000"
96,"Scot Pollard, C",Indiana Pacers,"$6,274,935"
97,"Danny Fortson, C",Seattle SuperSonics,"$6,207,670"
98,"Sam Cassell, PG",LA Clippers,"$6,187,500"
99,"Corliss Williamson, PF",Sacramento Kings,"$6,000,000"
100,"Ricky Davis, SG",Minnesota Timberwolves,"$5,909,800"
RK,NAME,TEAM,SALARY
101,"Chauncey Billups, PG",Detroit Pistons,"$5,909,800"
102,"Juwan Howard, PF",Houston Rockets,"$5,900,400"
103,"James Posey, SF",Miami Heat,"$5,900,400"
104,"Michael Olowokandi, C",Boston Celtics,"$5,900,400"
105,"Stephen Jackson, SF",Indiana Pacers,"$5,610,000"
106,"Yao Ming, C",Houston Rockets,"$5,594,906"
107,"Mark Blount, C",Minnesota Timberwolves,"$5,515,875"
108,"Nazr Mohammed, C",San Antonio Spurs,"$5,500,000"
109,"Jason Collins, C",New Jersey Nets,"$5,500,000"
110,"Eric Snow, PG",Cleveland Cavaliers,"$5,484,375"
RK,NAME,TEAM,SALARY
111,"Jamaal Tinsley, PG",Indiana Pacers,"$5,400,000"
112,"Derek Fisher, PG",Golden State Warriors,"$5,393,300"
113,"Antonio McDyess, PF",Detroit Pistons,"$5,393,300"
114,"Marquis Daniels, SG",Dallas Mavericks,"$5,393,300"
115,"Hedo Turkoglu, SF",Orlando Magic,"$5,393,300"
116,"Etan Thomas, C",Washington Wizards,"$5,393,300"
117,"Marko Jaric, PG",Minnesota Timberwolves,"$5,280,528"
118,"Troy Hudson, PG",Minnesota Timberwolves,"$5,253,000"
119,"Tony Battie, C",Orlando Magic,"$5,200,000"
120,"David Wesley, SG",Houston Rockets,"$5,075,000"
RK,NAME,TEAM,SALARY
121,"Matt Harpring, SF",Utah Jazz,"$5,020,000"
122,"Devean George, SF",Los Angeles Lakers,"$5,000,600"
123,"Shareef Abdur-Rahim, PF",Sacramento Kings,"$5,000,000"
124,"Earl Watson, PG",Seattle SuperSonics,"$5,000,000"
125,"Gerald Wallace, SF",Charlotte Bobcats,"$5,000,000"
126,"Stromile Swift, PF",Houston Rockets,"$5,000,000"
127,"Antonio Daniels, PG",Washington Wizards,"$5,000,000"
128,"Udonis Haslem, PF",Miami Heat,"$5,000,000"
129,"Jeff Foster, PF",Indiana Pacers,"$5,000,000"
130,"Jerome James, C",New York Knicks,"$5,000,000"
RK,NAME,TEAM,SALARY
131,"Brian Skinner, PF",Portland Trail Blazers,"$4,950,000"
132,"Brian Cardinal, PF",Memphis Grizzlies,"$4,950,000"
133,"Shane Battier, SF",Memphis Grizzlies,"$4,903,000"
134,"Donyell Marshall, PF",Cleveland Cavaliers,"$4,799,108"
135,"Dan Gadzuric, C",Milwaukee Bucks,"$4,750,000"
136,"Brent Barry, SG",San Antonio Spurs,"$4,691,390"
137,"LeBron James, SF",Cleveland Cavaliers,"$4,621,800"
138,"Brevin Knight, PG",Charlotte Bobcats,"$4,600,000"
139,"Morris Peterson, SG",Toronto Raptors,"$4,550,000"
140,"Marc Jackson, PF",NO/Oklahoma City  Hornets,"$4,550,000"
RK,NAME,TEAM,SALARY
141,"Mike Dunleavy, SG",Golden State Warriors,"$4,506,261"
142,"Andrea Bargnani, C",Brooklyn Nets,"$4,501,200"
143,"Chucky Atkins, PG",Memphis Grizzlies,"$4,500,000"
144,"Dwight Howard, C",Orlando Magic,"$4,493,160"
145,"Greg Ostertag, C",Utah Jazz,"$4,400,000"
146,"Trenton Hassell, SF",Minnesota Timberwolves,"$4,350,000"
147,"Andrew Bogut, C",Milwaukee Bucks,"$4,340,520"
148,"Raja Bell, SG",Phoenix Suns,"$4,250,000"
149,"Damon Stoudamire, PG",Memphis Grizzlies,"$4,250,000"
150,"Moochie Norris, PG",NO/Oklahoma City  Hornets,"$4,200,000"
RK,NAME,TEAM,SALARY
151,"Eduardo Najera, PF",Denver Nuggets,"$4,190,476"
152,"Darko Milicic, C",Orlando Magic,"$4,135,200"
153,"Drew Gooden, PF",Cleveland Cavaliers,"$4,065,811"
154,"Emeka Okafor, C",Charlotte Bobcats,"$4,020,120"
155,"Brendan Haywood, C",Washington Wizards,"$4,000,000"
156,"Gordan Giricek, SG",Utah Jazz,"$4,000,000"
157,"Sarunas Jasikevicius, PG",Indiana Pacers,"$4,000,000"
158,"Zaza Pachulia, C",Atlanta Hawks,"$4,000,000"
159,"Carlos Arroyo, PG",Orlando Magic,"$4,000,000"
160,"Eric Williams, PF",Toronto Raptors,"$3,938,000"
RK,NAME,TEAM,SALARY
161,"Marvin Williams, F",Atlanta Hawks,"$3,883,000"
162,"Rafer Alston, PG",Houston Rockets,"$3,850,000"
163,"Chris Mihm, C",Los Angeles Lakers,"$3,792,817"
164,"Carmelo Anthony, PF",Denver Nuggets,"$3,713,640"
165,"Kyle Korver, G",Philadelphia 76ers,"$3,636,364"
166,"Ben Gordon, SG",Chicago Bulls,"$3,610,200"
167,"Speedy Claxton, PG",NO/Oklahoma City  Hornets,"$3,600,000"
168,"Damon Jones, PG",Cleveland Cavaliers,"$3,596,924"
169,"Voshon Lenard, SG",Portland Trail Blazers,"$3,520,000"
170,"Bob Sura, PG",Houston Rockets,"$3,520,000"
RK,NAME,TEAM,SALARY
171,"Dale Davis, PF",Detroit Pistons,"$3,500,000"
172,"Tyronn Lue, PG",Atlanta Hawks,"$3,500,000"
173,"Deron Williams, PG",Utah Jazz,"$3,487,440"
174,"Mike James, PG",Toronto Raptors,"$3,410,000"
175,"Jeff McInnis, PG",New Jersey Nets,"$3,400,000"
176,"Bruce Bowen, SF",San Antonio Spurs,"$3,375,000"
177,"Aaron Williams, C",NO/Oklahoma City  Hornets,"$3,375,000"
178,"Bobby Jackson, PG",Memphis Grizzlies,"$3,375,000"
179,"Chris Bosh, PF",Toronto Raptors,"$3,348,000"
180,"Vitaly Potapenko, C",Sacramento Kings,"$3,325,416"
RK,NAME,TEAM,SALARY
181,"Shaun Livingston, G",LA Clippers,"$3,254,880"
182,"Pat Garrity, PF",Orlando Magic,"$3,231,250"
183,"Othella Harrington, PF",Chicago Bulls,"$3,200,000"
184,"Vladimir Radmanovic, SF",LA Clippers,"$3,166,154"
185,"Chris Paul, PG",NO/Oklahoma City  Hornets,"$3,144,240"
186,"Keyon Dooling, PG",Orlando Magic,"$3,100,000"
187,"Nene Hilario, C",Denver Nuggets,"$3,039,889"
188,"Dwyane Wade, G",Miami Heat,"$3,031,920"
189,"Robert Horry, PF",San Antonio Spurs,"$3,000,000"
190,"Eric Piatkowski, SG",Chicago Bulls,"$3,000,000"
RK,NAME,TEAM,SALARY
191,"Kareem Rush, SG",Charlotte Bobcats,"$3,000,000"
