0,1,2,3
RK,NAME,TEAM,SALARY
1,"Kobe Bryant, SF",Los Angeles Lakers,"$25,000,000"
2,"LeBron James, SF",Cleveland Cavaliers,"$22,970,500"
3,"Carmelo Anthony, PF",New York Knicks,"$22,875,000"
4,"Dwight Howard, C",Houston Rockets,"$22,359,364"
5,"Chris Bosh, PF",Miami Heat,"$22,192,730"
6,"Chris Paul, PG",LA Clippers,"$21,468,695"
7,"Kevin Durant, PF",Oklahoma City Thunder,"$20,158,622"
8,"Derrick Rose, PG",Chicago Bulls,"$20,093,064"
9,"Dwyane Wade, G",Miami Heat,"$20,000,000"
10,"LaMarcus Aldridge, C",San Antonio Spurs,"$19,689,000"
RK,NAME,TEAM,SALARY
11,"Brook Lopez, C",Brooklyn Nets,"$19,689,000"
12,"Kevin Love, PF",Cleveland Cavaliers,"$19,689,000"
13,"DeAndre Jordan, C",LA Clippers,"$19,689,000"
14,"Marc Gasol, C",Memphis Grizzlies,"$19,688,000"
15,"Blake Griffin, PF",LA Clippers,"$18,907,726"
16,"Paul Millsap, PF",Atlanta Hawks,"$18,671,659"
17,"Paul George, F",Indiana Pacers,"$17,120,106"
18,"Russell Westbrook, PG",Oklahoma City Thunder,"$16,744,218"
19,"Kyrie Irving, PG",Cleveland Cavaliers,"$16,407,501"
20,"Greg Monroe, C",Milwaukee Bucks,"$16,407,500"
RK,NAME,TEAM,SALARY
21,"Jimmy Butler, SF",Chicago Bulls,"$16,407,500"
22,"Kawhi Leonard, SF",San Antonio Spurs,"$16,407,500"
23,"Enes Freedom, C",Oklahoma City Thunder,"$16,407,500"
24,"Wesley Matthews, SG",Dallas Mavericks,"$16,407,500"
25,"Tobias Harris, PF",Detroit Pistons,"$16,000,000"
26,"John Wall, PG",Washington Wizards,"$15,851,950"
27,"DeMarcus Cousins, C",Sacramento Kings,"$15,851,950"
28,"James Harden, SG",Houston Rockets,"$15,756,438"
29,"Roy Hibbert, C",Los Angeles Lakers,"$15,592,217"
30,"Eric Gordon, SG",New Orleans Pelicans,"$15,514,031"
RK,NAME,TEAM,SALARY
31,"Klay Thompson, SG",Golden State Warriors,"$15,501,000"
32,"Gordon Hayward, SF",Utah Jazz,"$15,409,570"
33,"Chandler Parsons, SF",Dallas Mavericks,"$15,361,500"
34,"Goran Dragic, PG",Miami Heat,"$14,783,000"
35,"Khris Middleton, SF",Milwaukee Bucks,"$14,700,000"
36,"Draymond Green, PF",Golden State Warriors,"$14,260,870"
37,"Tristan Thompson, C",Cleveland Cavaliers,"$14,260,870"
38,"Danilo Gallinari, PF",Denver Nuggets,"$14,000,000"
39,"Reggie Jackson, PG",Detroit Pistons,"$13,913,044"
40,"Andrew Bogut, C",Golden State Warriors,"$13,800,000"
RK,NAME,TEAM,SALARY
41,"DeMarre Carroll, F",Toronto Raptors,"$13,600,000"
42,"Eric Bledsoe, SG",Phoenix Suns,"$13,500,000"
43,"Al Jefferson, C",Charlotte Hornets,"$13,500,000"
44,"Brandon Knight, PG",Phoenix Suns,"$13,500,000"
45,"Tony Parker, G",San Antonio Spurs,"$13,437,500"
46,"Joakim Noah, C",Chicago Bulls,"$13,400,000"
47,"Nicolas Batum, PF",Charlotte Hornets,"$13,125,306"
48,"Tyson Chandler, C",Phoenix Suns,"$13,000,000"
49,"Nene Hilario, C",Washington Wizards,"$13,000,000"
50,"Ricky Rubio, PG",Minnesota Timberwolves,"$12,700,000"
RK,NAME,TEAM,SALARY
51,"Robin Lopez, C",New York Knicks,"$12,650,000"
52,"Rudy Gay, SF",Sacramento Kings,"$12,403,101"
53,"Serge Ibaka, F",Oklahoma City Thunder,"$12,250,000"
54,"Nikola Pekovic, C",Minnesota Timberwolves,"$12,100,000"
55,"Amir Johnson, F",Boston Celtics,"$12,000,000"
56,"Kyle Lowry, PG",Toronto Raptors,"$12,000,000"
57,"Kemba Walker, PG",Charlotte Hornets,"$12,000,000"
58,"Derrick Favors, F",Utah Jazz,"$12,000,000"
59,"Al Horford, C",Atlanta Hawks,"$12,000,000"
60,"Andre Iguodala, F",Golden State Warriors,"$11,710,456"
RK,NAME,TEAM,SALARY
61,"Stephen Curry, PG",Golden State Warriors,"$11,370,786"
62,"Nikola Vucevic, C",Orlando Magic,"$11,250,000"
63,"Thaddeus Young, PF",Brooklyn Nets,"$11,235,955"
64,"Kenneth Faried, F",Denver Nuggets,"$11,235,955"
65,"Marcin Gortat, C",Washington Wizards,"$11,217,391"
66,"Tyreke Evans, G",New Orleans Pelicans,"$10,734,586"
67,"Jrue Holiday, PG",New Orleans Pelicans,"$10,595,507"
68,"Brendan Haywood, C",Portland Trail Blazers,"$10,522,500"
69,"Wilson Chandler, F",Brooklyn Nets,"$10,449,438"
70,"Monta Ellis, SG",Indiana Pacers,"$10,300,000"
RK,NAME,TEAM,SALARY
71,"Luol Deng, F",Miami Heat,"$10,151,612"
72,"Gerald Wallace, SF",Philadelphia 76ers,"$10,105,855"
73,"DeMar DeRozan, SF",Toronto Raptors,"$10,050,000"
74,"Danny Green, F",San Antonio Spurs,"$10,000,000"
75,"Tiago Splitter, C",Atlanta Hawks,"$9,756,250"
76,"Jeff Green, PF",LA Clippers,"$9,650,000"
77,"Zach Randolph, F",Memphis Grizzlies,"$9,638,555"
78,"Mike Conley, PG",Memphis Grizzlies,"$9,588,426"
79,"Rajon Rondo, PG",Sacramento Kings,"$9,500,000"
80,"Alec Burks, SG",Utah Jazz,"$9,463,484"
RK,NAME,TEAM,SALARY
81,"Omer Asik, C",New Orleans Pelicans,"$9,213,483"
82,"Lance Stephenson, G",Memphis Grizzlies,"$9,000,000"
83,"Iman Shumpert, G",Cleveland Cavaliers,"$8,988,765"
84,"Taj Gibson, F",Chicago Bulls,"$8,500,000"
85,"Kevin Garnett, PF",Minnesota Timberwolves,"$8,500,000"
86,"Ryan Anderson, PF",New Orleans Pelicans,"$8,500,000"
87,"Brandon Jennings, G",Orlando Magic,"$8,344,497"
88,"Dirk Nowitzki, F",Dallas Mavericks,"$8,333,334"
89,"Corey Brewer, F",Houston Rockets,"$8,229,375"
90,"Trevor Ariza, SF",Houston Rockets,"$8,193,030"
RK,NAME,TEAM,SALARY
91,"Channing Frye, F",Cleveland Cavaliers,"$8,193,029"
92,"Al-Farouq Aminu, SF",Portland Trail Blazers,"$8,042,895"
93,"Arron Afflalo, G",New York Knicks,"$8,000,000"
94,"Jeff Teague, PG",Atlanta Hawks,"$8,000,000"
95,"O.J. Mayo, SG",Milwaukee Bucks,"$8,000,000"
96,"George Hill, PG",Indiana Pacers,"$8,000,000"
97,"Markieff Morris, PF",Washington Wizards,"$8,000,000"
