0,1,2,3
RK,NAME,TEAM,SALARY
1,"Kobe Bryant, SF",Los Angeles Lakers,"$25,244,493"
2,"Kevin Garnett, PF",Boston Celtics,"$21,247,044"
3,"Tim Duncan, C",San Antonio Spurs,"$21,164,619"
4,"Rashard Lewis, PF",Washington Wizards,"$21,136,631"
5,"Dirk Nowitzki, F",Dallas Mavericks,"$19,092,873"
6,"Pau Gasol, PF",Los Angeles Lakers,"$18,714,150"
7,"Carmelo Anthony, PF",New York Knicks,"$18,518,574"
8,"Amar'e Stoudemire, C",New York Knicks,"$18,217,705"
9,"Elton Brand, PF",Philadelphia 76ers,"$18,160,355"
10,"Dwight Howard, C",Orlando Magic,"$18,091,770"
RK,NAME,TEAM,SALARY
11,"Joe Johnson, G",Atlanta Hawks,"$18,038,573"
12,"Andrei Kirilenko, SF",Philadelphia 76ers,"$17,823,000"
13,"Chris Bosh, PF",Miami Heat,"$17,545,000"
14,"LeBron James, SF",Miami Heat,"$17,545,000"
15,"Chris Paul, PG",LA Clippers,"$16,359,805"
16,"Deron Williams, PG",New Jersey Nets,"$16,359,805"
17,"Dwyane Wade, G",Miami Heat,"$15,691,000"
18,"Kevin Durant, PF",Oklahoma City Thunder,"$15,506,632"
19,"Paul Pierce, SF",Boston Celtics,"$15,333,334"
20,"Zach Randolph, F",Memphis Grizzlies,"$15,200,000"
RK,NAME,TEAM,SALARY
21,"Antawn Jamison, PF",Cleveland Cavaliers,"$15,076,715"
22,"Brandon Roy, SG",Minnesota Timberwolves,"$15,032,144"
23,"Rudy Gay, SF",Memphis Grizzlies,"$15,032,144"
24,"Al Jefferson, C",Utah Jazz,"$15,000,000"
25,"Andrew Bynum, C",Los Angeles Lakers,"$14,900,000"
26,"Andre Iguodala, F",Philadelphia 76ers,"$14,718,250"
27,"Manu Ginobili, G",San Antonio Spurs,"$14,107,492"
28,"Chris Kaman, C",New Orleans Hornets,"$14,030,000"
29,"LaMarcus Aldridge, C",Portland Trail Blazers,"$14,000,000"
30,"Carlos Boozer, PF",Chicago Bulls,"$13,500,000"
RK,NAME,TEAM,SALARY
31,"Tyson Chandler, C",New York Knicks,"$13,107,837"
32,"Nene Hilario, C",Washington Wizards,"$13,000,000"
33,"Marc Gasol, C",Memphis Grizzlies,"$12,922,194"
34,"Emeka Okafor, C",New Orleans Hornets,"$12,642,500"
35,"Tony Parker, G",San Antonio Spurs,"$12,500,000"
36,"Al Horford, C",Atlanta Hawks,"$12,498,483"
37,"Josh Smith, PF",Atlanta Hawks,"$12,400,000"
38,"Luol Deng, F",Chicago Bulls,"$12,325,000"
39,"Danny Granger, SF",Indiana Pacers,"$12,015,904"
40,"Joakim Noah, C",Chicago Bulls,"$12,000,000"
RK,NAME,TEAM,SALARY
41,"Andrew Bogut, C",Milwaukee Bucks,"$12,000,000"
42,"Steve Nash, PG",Phoenix Suns,"$11,689,062"
43,"David Lee, PF",Golden State Warriors,"$11,610,000"
44,"Ben Gordon, SG",Detroit Pistons,"$11,600,000"
45,"Kevin Martin, SG",Houston Rockets,"$11,519,840"
46,"Marcus Camby, C",Houston Rockets,"$11,227,250"
47,"Jason Terry, G",Dallas Mavericks,"$11,158,000"
48,"Hedo Turkoglu, SF",Orlando Magic,"$11,015,850"
49,"Monta Ellis, SG",Milwaukee Bucks,"$11,000,000"
50,"Mehmet Okur, C",New Jersey Nets,"$10,890,000"
RK,NAME,TEAM,SALARY
51,"Jose Calderon, G",Toronto Raptors,"$10,561,982"
52,"Corey Maggette, SF",Charlotte Bobcats,"$10,262,069"
53,"Jason Kidd, PG",Dallas Mavericks,"$10,121,000"
54,"DeAndre Jordan, C",LA Clippers,"$10,079,404"
55,"Rajon Rondo, PG",Boston Celtics,"$10,045,454"
56,"Andrea Bargnani, C",Toronto Raptors,"$10,000,000"
57,"Ray Allen, SG",Boston Celtics,"$10,000,000"
58,"David West, F",Indiana Pacers,"$10,000,000"
59,"Gerald Wallace, SF",New Jersey Nets,"$9,500,000"
60,"Cuttino Mobley, SG",LA Clippers,"$9,500,000"
RK,NAME,TEAM,SALARY
61,"Devin Harris, G",Utah Jazz,"$9,319,000"
62,"Richard Jefferson, F",Golden State Warriors,"$9,282,000"
63,"Andris Biedrins, C",Golden State Warriors,"$9,000,000"
64,"Lamar Odom, PF",Dallas Mavericks,"$8,900,000"
65,"Paul Millsap, PF",Utah Jazz,"$8,603,633"
66,"Jameer Nelson, G",Orlando Magic,"$8,600,000"
67,"Luis Scola, F",Houston Rockets,"$8,591,793"
68,"Carl Landry, PF",New Orleans Hornets,"$8,500,000"
69,"Rodney Stuckey, PG",Detroit Pistons,"$8,500,000"
70,"Mo Williams, PG",LA Clippers,"$8,500,000"
RK,NAME,TEAM,SALARY
71,"John Salmons, SF",Sacramento Kings,"$8,083,000"
72,"Thaddeus Young, PF",Philadelphia 76ers,"$8,039,130"
73,"Shawn Marion, SG",Dallas Mavericks,"$8,022,449"
74,"Caron Butler, SF",LA Clippers,"$8,000,000"
75,"Kris Humphries, PF",New Jersey Nets,"$8,000,000"
76,"Kirk Hinrich, SG",Atlanta Hawks,"$8,000,000"
77,"Mark Blount, C",Miami Heat,"$7,967,375"
78,"Andre Miller, PG",Denver Nuggets,"$7,807,728"
79,"Arron Afflalo, G",Denver Nuggets,"$7,750,000"
80,"Anderson Varejao, C",Cleveland Cavaliers,"$7,700,000"
RK,NAME,TEAM,SALARY
81,"Brendan Haywood, C",Dallas Mavericks,"$7,624,500"
82,"Leandro Barbosa, G",Indiana Pacers,"$7,600,000"
83,"James Posey, SF",Indiana Pacers,"$7,595,600"
84,"Raymond Felton, G",Portland Trail Blazers,"$7,560,000"
85,"Charlie Villanueva, PF",Detroit Pistons,"$7,540,000"
86,"Marcus Thornton, SG",Sacramento Kings,"$7,525,000"
87,"Marvin Williams, F",Atlanta Hawks,"$7,500,000"
88,"Tyrus Thomas, PF",Charlotte Bobcats,"$7,305,785"
89,"Marcin Gortat, C",Phoenix Suns,"$7,258,960"
90,"Kendrick Perkins, C",Oklahoma City Thunder,"$7,123,626"
RK,NAME,TEAM,SALARY
91,"Marko Jaric, PG",Brooklyn Nets,"$7,100,000"
92,"Samuel Dalembert, C",Houston Rockets,"$7,000,000"
93,"Derrick Rose, PG",Chicago Bulls,"$6,993,708"
94,"Beno Udrih, PG",Milwaukee Bucks,"$6,925,400"
95,"DeSagana Diop, C",Charlotte Bobcats,"$6,925,400"
96,"Trevor Ariza, SF",New Orleans Hornets,"$6,790,640"
97,"Metta World Peace, SF",Los Angeles Lakers,"$6,790,640"
98,"Kwame Brown, C",Golden State Warriors,"$6,750,000"
99,"JJ Redick, SG",Orlando Magic,"$6,750,000"
100,"Morris Peterson, SG",Oklahoma City Thunder,"$6,665,000"
RK,NAME,TEAM,SALARY
101,"Andres Nocioni, SF",Philadelphia 76ers,"$6,650,000"
102,"Mike Conley, PG",Memphis Grizzlies,"$6,611,571"
103,"Jerome James, C",Chicago Bulls,"$6,600,000"
104,"Wesley Matthews, SG",Portland Trail Blazers,"$6,505,320"
105,"Grant Hill, SF",Phoenix Suns,"$6,500,000"
106,"Josh Childress, F",Phoenix Suns,"$6,500,000"
107,"Andray Blatche, C",Washington Wizards,"$6,442,083"
108,"Rasheed Wallace, PF",New York Knicks,"$6,322,320"
109,"Glen Davis, PF",Orlando Magic,"$6,300,000"
110,"Tayshaun Prince, SF",Detroit Pistons,"$6,292,135"
RK,NAME,TEAM,SALARY
111,"Michael Beasley, F",Minnesota Timberwolves,"$6,262,347"
112,"Drew Gooden, PF",Milwaukee Bucks,"$6,226,200"
113,"Al Harrington, PF",Denver Nuggets,"$6,226,200"
114,"Jermaine O'Neal, C",Boston Celtics,"$6,226,200"
115,"Francisco Garcia, SG",Sacramento Kings,"$6,100,000"
116,"Amir Johnson, F",Toronto Raptors,"$6,000,000"
117,"Channing Frye, F",Phoenix Suns,"$6,000,000"
118,"Luke Walton, SF",Cleveland Cavaliers,"$5,971,363"
119,"Kyle Lowry, PG",Houston Rockets,"$5,750,000"
120,"Blake Griffin, PF",LA Clippers,"$5,731,080"
RK,NAME,TEAM,SALARY
121,"O.J. Mayo, SG",Memphis Grizzlies,"$5,632,637"
122,"Nenad Krstic, C",Bilbao Basket Bilbao Basket,"$5,543,116"
123,"John Wall, PG",Washington Wizards,"$5,530,080"
