0,1,2,3
RK,NAME,TEAM,SALARY
1,"Kobe Bryant, SF",Los Angeles Lakers,"$23,500,000"
2,"Joe Johnson, G",Brooklyn Nets,"$23,180,790"
3,"Carmelo Anthony, PF",New York Knicks,"$22,458,401"
4,"Dwight Howard, C",Houston Rockets,"$21,436,271"
5,"Chris Bosh, PF",Miami Heat,"$20,644,400"
6,"LeBron James, SF",Cleveland Cavaliers,"$20,644,400"
7,"Chris Paul, PG",LA Clippers,"$20,068,563"
8,"Deron Williams, PG",Brooklyn Nets,"$19,754,465"
9,"Rudy Gay, SF",Sacramento Kings,"$19,317,326"
10,"Kevin Durant, PF",Oklahoma City Thunder,"$18,995,624"
RK,NAME,TEAM,SALARY
11,"Derrick Rose, PG",Chicago Bulls,"$18,862,876"
12,"Blake Griffin, PF",LA Clippers,"$17,674,613"
13,"Zach Randolph, F",Memphis Grizzlies,"$16,500,000"
14,"LaMarcus Aldridge, C",Portland Trail Blazers,"$16,006,000"
15,"Paul George, F",Indiana Pacers,"$15,937,290"
16,"Marc Gasol, C",Memphis Grizzlies,"$15,829,688"
17,"Kevin Love, PF",Cleveland Cavaliers,"$15,719,063"
18,"Brook Lopez, C",Brooklyn Nets,"$15,719,062"
19,"Russell Westbrook, PG",Oklahoma City Thunder,"$15,719,062"
20,"David Lee, PF",Golden State Warriors,"$15,012,000"
RK,NAME,TEAM,SALARY
21,"Dwyane Wade, G",Miami Heat,"$15,000,000"
22,"Eric Gordon, SG",New Orleans Pelicans,"$14,898,938"
23,"Roy Hibbert, C",Indiana Pacers,"$14,898,938"
24,"Tyson Chandler, C",Dallas Mavericks,"$14,846,888"
25,"Gordon Hayward, SF",Utah Jazz,"$14,746,000"
26,"John Wall, PG",Washington Wizards,"$14,746,000"
27,"DeMarcus Cousins, C",Sacramento Kings,"$14,746,000"
28,"James Harden, SG",Houston Rockets,"$14,728,844"
29,"Chandler Parsons, SF",Dallas Mavericks,"$14,700,000"
30,"Al Jefferson, C",Charlotte Hornets,"$13,500,000"
RK,NAME,TEAM,SALARY
31,"Eric Bledsoe, SG",Phoenix Suns,"$13,000,000"
32,"Nene Hilario, C",Washington Wizards,"$13,000,000"
33,"Andrew Bogut, C",Golden State Warriors,"$12,972,973"
34,"Derrick Favors, F",Utah Jazz,"$12,950,000"
35,"Rajon Rondo, PG",Dallas Mavericks,"$12,909,090"
