0,1,2,3
RK,NAME,TEAM,SALARY
1,"LeBron James, SF",Cleveland Cavaliers,"$30,963,450"
2,"Kevin Durant, PF",Golden State Warriors,"$26,540,100"
3,"Mike Conley, PG",Memphis Grizzlies,"$26,540,100"
4,"James Harden, SG",Houston Rockets,"$26,540,100"
5,"Russell Westbrook, PG",Oklahoma City Thunder,"$26,540,100"
6,"DeMar DeRozan, SF",Toronto Raptors,"$26,540,100"
7,"Al Horford, C",Boston Celtics,"$26,540,100"
8,"Dirk Nowitzki, F",Dallas Mavericks,"$25,000,000"
9,"Carmelo Anthony, PF",New York Knicks,"$24,559,380"
10,"Damian Lillard, PG",Portland Trail Blazers,"$24,328,425"
RK,NAME,TEAM,SALARY
11,"Chris Bosh, PF",Miami Heat,"$23,741,060"
12,"Dwyane Wade, G",Chicago Bulls,"$23,200,000"
13,"Dwight Howard, C",Atlanta Hawks,"$23,180,275"
14,"Chris Paul, PG",LA Clippers,"$22,868,827"
15,"Hassan Whiteside, C",Miami Heat,"$22,116,750"
16,"Harrison Barnes, SF",Dallas Mavericks,"$22,116,750"
17,"Bradley Beal, SG",Washington Wizards,"$22,116,750"
18,"Anthony Davis, PF",New Orleans Pelicans,"$22,116,750"
19,"Andre Drummond, C",Detroit Pistons,"$22,116,750"
20,"Chandler Parsons, SF",Memphis Grizzlies,"$22,116,750"
RK,NAME,TEAM,SALARY
21,"Derrick Rose, PG",New York Knicks,"$21,323,252"
22,"Marc Gasol, C",Memphis Grizzlies,"$21,165,675"
23,"Brook Lopez, C",Brooklyn Nets,"$21,165,675"
24,"Kevin Love, PF",Cleveland Cavaliers,"$21,165,675"
25,"DeAndre Jordan, C",LA Clippers,"$21,165,675"
26,"Nicolas Batum, PF",Charlotte Hornets,"$20,869,566"
27,"LaMarcus Aldridge, C",San Antonio Spurs,"$20,575,005"
28,"Blake Griffin, PF",LA Clippers,"$20,140,839"
29,"Paul Millsap, PF",Atlanta Hawks,"$20,072,033"
30,"Ryan Anderson, PF",Houston Rockets,"$18,735,364"
RK,NAME,TEAM,SALARY
31,"Allen Crabbe, G",Portland Trail Blazers,"$18,500,000"
32,"Paul George, F",Indiana Pacers,"$18,314,532"
33,"Luol Deng, F",Los Angeles Lakers,"$18,000,000"
34,"Kawhi Leonard, SF",San Antonio Spurs,"$17,638,063"
35,"Kyrie Irving, PG",Cleveland Cavaliers,"$17,638,063"
36,"Jimmy Butler, SF",Chicago Bulls,"$17,552,209"
37,"Tobias Harris, PF",Detroit Pistons,"$17,200,000"
38,"Greg Monroe, C",Milwaukee Bucks,"$17,145,838"
39,"Enes Freedom, C",Oklahoma City Thunder,"$17,145,838"
40,"Wesley Matthews, SG",Dallas Mavericks,"$17,145,838"
RK,NAME,TEAM,SALARY
41,"Bismack Biyombo, C",Orlando Magic,"$17,000,000"
42,"Evan Fournier, SG",Orlando Magic,"$17,000,000"
43,"Joakim Noah, C",New York Knicks,"$17,000,000"
44,"John Wall, PG",Washington Wizards,"$16,957,900"
45,"DeMarcus Cousins, C",New Orleans Pelicans,"$16,957,900"
46,"Klay Thompson, SG",Golden State Warriors,"$16,663,575"
47,"Evan Turner, G",Portland Trail Blazers,"$16,393,443"
48,"Gordon Hayward, SF",Utah Jazz,"$16,073,140"
49,"Timofey Mozgov, C",Los Angeles Lakers,"$16,000,000"
50,"Ian Mahinmi, C",Washington Wizards,"$15,944,154"
RK,NAME,TEAM,SALARY
51,"Goran Dragic, PG",Miami Heat,"$15,891,725"
52,"Kent Bazemore, SF",Atlanta Hawks,"$15,730,338"
53,"Pau Gasol, PF",San Antonio Spurs,"$15,500,000"
54,"Draymond Green, PF",Golden State Warriors,"$15,330,435"
55,"Tristan Thompson, C",Cleveland Cavaliers,"$15,330,435"
56,"Khris Middleton, SF",Milwaukee Bucks,"$15,200,000"
57,"Danilo Gallinari, PF",Denver Nuggets,"$15,050,000"
58,"Jeff Green, PF",Orlando Magic,"$15,000,000"
59,"Reggie Jackson, PG",Detroit Pistons,"$14,956,522"
60,"Tony Parker, G",San Antonio Spurs,"$14,445,313"
RK,NAME,TEAM,SALARY
61,"Jonas Valanciunas, C",Toronto Raptors,"$14,382,023"
62,"DeMarre Carroll, F",Toronto Raptors,"$14,200,000"
63,"Thaddeus Young, PF",Indiana Pacers,"$14,153,652"
64,"Manu Ginobili, G",San Antonio Spurs,"$14,000,000"
65,"Eric Bledsoe, SG",Phoenix Suns,"$14,000,000"
66,"Rajon Rondo, PG",Chicago Bulls,"$14,000,000"
67,"Ricky Rubio, PG",Minnesota Timberwolves,"$13,550,000"
68,"Rudy Gay, SF",Sacramento Kings,"$13,333,333"
69,"Jamal Crawford, G",LA Clippers,"$13,253,012"
70,"Robin Lopez, C",Chicago Bulls,"$13,219,250"
RK,NAME,TEAM,SALARY
71,"Michael Kidd-Gilchrist, F",Charlotte Hornets,"$13,000,000"
72,"JR Smith, G",Cleveland Cavaliers,"$12,800,000"
73,"Brandon Knight, PG",Phoenix Suns,"$12,606,250"
74,"John Henson, F",Milwaukee Bucks,"$12,517,606"
75,"Miles Plumlee, C",Charlotte Hornets,"$12,500,000"
76,"Jordan Clarkson, PG",Los Angeles Lakers,"$12,500,000"
77,"Arron Afflalo, G",Sacramento Kings,"$12,500,000"
78,"Tyson Chandler, C",Phoenix Suns,"$12,415,000"
79,"Eric Gordon, SG",Houston Rockets,"$12,385,364"
80,"Marvin Williams, F",Charlotte Hornets,"$12,250,000"
RK,NAME,TEAM,SALARY
81,"Serge Ibaka, F",Toronto Raptors,"$12,250,000"
82,"Stephen Curry, PG",Golden State Warriors,"$12,112,359"
83,"Nikola Pekovic, C",Minnesota Timberwolves,"$12,100,000"
84,"Kenneth Faried, F",Denver Nuggets,"$12,078,652"
85,"Amir Johnson, F",Boston Celtics,"$12,000,000"
86,"Kyle Lowry, PG",Toronto Raptors,"$12,000,000"
87,"Marcin Gortat, C",Washington Wizards,"$12,000,000"
88,"Kemba Walker, PG",Charlotte Hornets,"$12,000,000"
89,"Nikola Vucevic, C",Orlando Magic,"$11,750,000"
90,"Jeremy Lin, G",Brooklyn Nets,"$11,483,254"
RK,NAME,TEAM,SALARY
91,"Jrue Holiday, PG",New Orleans Pelicans,"$11,286,518"
92,"Courtney Lee, G",New York Knicks,"$11,242,000"
93,"Solomon Hill, SF",New Orleans Pelicans,"$11,241,218"
94,"Wilson Chandler, F",Denver Nuggets,"$11,233,146"
95,"Andre Iguodala, F",Golden State Warriors,"$11,131,368"
96,"Derrick Favors, F",Utah Jazz,"$11,050,000"
97,"Austin Rivers, SG",LA Clippers,"$11,000,000"
98,"Joe Johnson, G",Utah Jazz,"$11,000,000"
99,"Jon Leuer, F",Detroit Pistons,"$10,991,957"
100,"Monta Ellis, SG",Indiana Pacers,"$10,763,500"
RK,NAME,TEAM,SALARY
101,"Mirza Teletovic, PF",Milwaukee Bucks,"$10,500,000"
102,"Jared Dudley, SF",Phoenix Suns,"$10,470,000"
103,"Zach Randolph, F",Memphis Grizzlies,"$10,361,445"
104,"Al Jefferson, C",Indiana Pacers,"$10,314,532"
105,"Tyreke Evans, G",Sacramento Kings,"$10,203,755"
106,"Alec Burks, SG",Utah Jazz,"$10,154,495"
107,"Terrence Ross, G",Orlando Magic,"$10,000,000"
108,"Danny Green, F",San Antonio Spurs,"$10,000,000"
109,"Omer Asik, C",New Orleans Pelicans,"$9,904,494"
110,"Iman Shumpert, G",Cleveland Cavaliers,"$9,662,922"
RK,NAME,TEAM,SALARY
111,"Matthew Dellavedova, PG",Milwaukee Bucks,"$9,607,500"
112,"Jerryd Bayless, G",Philadelphia 76ers,"$9,424,084"
113,"Trevor Booker, F",Brooklyn Nets,"$9,250,000"
114,"Meyers Leonard, C",Portland Trail Blazers,"$9,213,483"
115,"Gerald Henderson, SG",Philadelphia 76ers,"$9,000,000"
116,"Maurice Harkless, SF",Portland Trail Blazers,"$8,988,765"
117,"Taj Gibson, F",Oklahoma City Thunder,"$8,950,000"
118,"Jeff Teague, PG",Indiana Pacers,"$8,800,000"
119,"Tiago Splitter, C",Philadelphia 76ers,"$8,550,000"
120,"Ersan Ilyasova, PF",Atlanta Hawks,"$8,400,000"
RK,NAME,TEAM,SALARY
121,"Dwight Powell, C",Dallas Mavericks,"$8,375,000"
122,"Avery Bradley, PG",Boston Celtics,"$8,269,663"
123,"E'Twaun Moore, G",New Orleans Pelicans,"$8,081,363"
124,"Darrell Arthur, F",Denver Nuggets,"$8,070,175"
125,"Kosta Koufos, C",Sacramento Kings,"$8,046,500"
126,"Garrett Temple, SF",Sacramento Kings,"$8,000,000"
127,"Kevin Garnett, PF",Minnesota Timberwolves,"$8,000,000"
128,"Yi Jianlian, SF",Los Angeles Lakers,"$8,000,000"
129,"George Hill, PG",Utah Jazz,"$8,000,000"
130,"Anthony Tolliver, PF",Sacramento Kings,"$8,000,000"
RK,NAME,TEAM,SALARY
131,"Tyler Zeller, C",Boston Celtics,"$8,000,000"
132,"Trevor Ariza, SF",Houston Rockets,"$7,806,971"
133,"Channing Frye, F",Cleveland Cavaliers,"$7,806,971"
134,"Al-Farouq Aminu, SF",Portland Trail Blazers,"$7,680,965"
135,"Cole Aldrich, C",Minnesota Timberwolves,"$7,643,979"
136,"Corey Brewer, F",Los Angeles Lakers,"$7,612,172"
137,"Festus Ezeli, C",Portland Trail Blazers,"$7,400,000"
138,"Markieff Morris, PF",Washington Wizards,"$7,400,000"
139,"JJ Redick, SG",LA Clippers,"$7,377,500"
140,"Cory Joseph, PG",Toronto Raptors,"$7,315,000"
RK,NAME,TEAM,SALARY
141,"D.J. Augustin, G",Orlando Magic,"$7,250,000"
142,"Boris Diaw, C",Utah Jazz,"$7,000,000"
143,"Rodney Stuckey, PG",Indiana Pacers,"$7,000,000"
144,"Boban Marjanovic, C",Detroit Pistons,"$7,000,000"
145,"Lou Williams, SG",Houston Rockets,"$7,000,000"
146,"Ed Davis, C",Portland Trail Blazers,"$6,666,667"
147,"Isaiah Thomas, G",Boston Celtics,"$6,587,132"
148,"Victor Oladipo, SG",Oklahoma City Thunder,"$6,552,961"
149,"Jodie Meeks, G",Orlando Magic,"$6,540,000"
